"dataset","nhidden","layerForm","valAccuracy","nlayers","learningrate","testAccuracy"
"blood",512,"cone",0.853333365917206,8,0.01,0.711229979991913
"blood",1024,"cone",0.844444489479065,2,1,0.786096215248108
"blood",512,"cone",0.840000069141388,2,1,0.807486534118652
"blood",1024,"cone",0.840000057220459,8,0.01,0.72192507982254
"blood",256,"cone",0.837777829170227,2,0.01,0.786096215248108
"blood",256,"rect",0.837777805328369,2,0.01,0.802138984203339
"blood",1024,"cone",0.833333373069763,2,0.1,0.791443824768066
"blood",512,"cone",0.833333361148834,2,0.1,0.791443824768066
"blood",256,"cone",0.833333349227905,2,1,0.796791434288025
"blood",512,"cone",0.833333349227905,8,0.1,0.770053446292877
"blood",1024,"cone",0.831111133098602,3,0.1,0.812834143638611
"blood",512,"cone",0.831111121177673,3,0.1,0.796791434288025
"blood",1024,"cone",0.828888928890228,8,0.1,0.754010677337646
"blood",1024,"cone",0.828888928890228,4,0.1,0.780748605728149
"blood",256,"cone",0.826666712760925,3,1,0.791443765163422
"blood",1024,"cone",0.826666700839996,2,0.01,0.775401055812836
"blood",256,"cone",0.826666688919067,8,0.1,0.780748605728149
"blood",512,"cone",0.824444472789764,4,0.1,0.796791434288025
"blood",1024,"rect",0.82222226858139,16,0.01,0.711229920387268
"blood",256,"rect",0.82222226858139,8,0.01,0.705882370471954
"blood",1024,"cone",0.822222244739533,3,0.01,0.791443765163422
"blood",1024,"rect",0.820000052452088,8,0.01,0.679144382476807
"blood",512,"cone",0.820000040531159,3,0.01,0.764705896377563
"blood",512,"cone",0.820000040531159,3,1,0.764705896377563
"blood",512,"rect",0.820000040531159,2,0.01,0.796791434288025
"blood",256,"cone",0.820000040531158,3,0.1,0.770053446292877
"blood",256,"rect",0.817777824401856,4,0.01,0.700534760951996
"blood",512,"rect",0.817777812480927,8,0.01,0.668449223041534
"blood",512,"cone",0.817777800559998,4,1,0.796791434288025
"blood",512,"cone",0.813333380222321,2,0.01,0.764705836772919
"blood",512,"rect",0.813333368301392,16,0.01,0.72192507982254
"blood",512,"rect",0.813333368301392,4,0.01,0.716577470302582
"blood",1024,"cone",0.813333368301392,3,1,0.759358286857605
"blood",256,"cone",0.813333368301392,2,0.1,0.770053505897522
"blood",256,"cone",0.813333356380463,4,0.1,0.764705896377563
"blood",1024,"cone",0.811111152172089,4,0.01,0.770053446292877
"blood",1024,"rect",0.811111152172089,4,0.01,0.716577529907227
"blood",256,"rect",0.808888912200928,16,0.01,0.72192507982254
"blood",512,"rect",0.806666707992554,3,0.01,0.705882370471954
"blood",256,"rect",0.806666696071625,4,0.1,0.759358286857605
"blood",1024,"rect",0.806666696071625,2,0.1,0.780748605728149
"blood",512,"rect",0.802222263813019,4,0.1,0.770053446292877
"blood",512,"cone",0.80222225189209,4,0.01,0.770053446292877
"blood",1024,"cone",0.800000071525574,32,0.01,0.764705836772919
"blood",512,"cone",0.800000071525574,32,0.01,0.764705836772919
"blood",512,"rect",0.800000071525574,32,0.01,0.764705896377563
"blood",256,"cone",0.800000071525574,32,0.01,0.764705896377563
"blood",256,"rect",0.800000071525574,32,0.01,0.764705777168274
"blood",1024,"cone",0.800000071525574,32,0.1,0.764705836772919
"blood",1024,"rect",0.800000071525574,32,0.1,0.764705896377563
"blood",512,"cone",0.800000071525574,32,0.1,0.764705836772919
"blood",512,"rect",0.800000071525574,32,0.1,0.764705896377563
"blood",256,"cone",0.800000071525574,32,0.1,0.764705896377563
"blood",256,"rect",0.800000071525574,32,0.1,0.764705896377563
"blood",1024,"cone",0.800000071525574,32,1,0.764705896377563
"blood",1024,"rect",0.800000071525574,32,1,0.764705836772919
"blood",512,"cone",0.800000071525574,32,1,0.764705896377563
"blood",512,"rect",0.800000071525574,32,1,0.764705836772919
"blood",256,"cone",0.800000071525574,32,1,0.764705896377563
"blood",256,"rect",0.800000071525574,32,1,0.764705896377563
"blood",1024,"cone",0.800000071525574,16,0.01,0.764705836772919
"blood",512,"cone",0.800000071525574,16,0.01,0.764705836772919
"blood",256,"cone",0.800000071525574,16,0.01,0.764705896377563
"blood",1024,"cone",0.800000071525574,16,0.1,0.764705896377563
"blood",512,"cone",0.800000071525574,16,0.1,0.764705777168274
"blood",256,"cone",0.800000071525574,16,0.1,0.764705836772919
"blood",1024,"cone",0.800000071525574,16,1,0.764705836772919
"blood",1024,"rect",0.800000071525574,16,1,0.764705896377563
"blood",512,"cone",0.800000071525574,16,1,0.764705836772919
"blood",256,"cone",0.800000071525574,16,1,0.764705836772919
"blood",256,"cone",0.800000071525574,8,0.01,0.754010677337646
