"dataset","testAccuracy","nhidden","learningrate","layerForm","nlayers","valAccuracy"
"wine-quality-white",0.450163453817368,1024,1,"cone",16,0.459677428007126
"wine-quality-white",0.450163453817368,256,1,"cone",16,0.459677428007126
"wine-quality-white",0.468137264251709,512,0.1,"rect",16,0.443817219138145
"wine-quality-white",0.450163424015045,1024,0.1,"rect",32,0.440322586894035
"wine-quality-white",0.450163453817368,512,1,"rect",32,0.385483875870705
"wine-quality-white",0.450163453817368,512,1,"rect",2,0.374193549156189
"wine-quality-white",0.451797425746918,1024,0.01,"rect",32,0.370967748761177
"wine-quality-white",0.450163453817368,1024,1,"rect",8,0.348118281876668
"wine-quality-white",0.450163453817368,256,1,"rect",32,0.345161297172308
"wine-quality-white",0.0040849675424397,512,1,"rect",3,0.340053767478094
"wine-quality-white",0.450163453817368,256,1,"rect",4,0.318548392504454
"wine-quality-white",0.0351307205855846,512,1,"rect",8,0.31774193868041
"wine-quality-white",0.450163453817368,512,1,"rect",16,0.314516138285398
"wine-quality-white",0.297385603189468,256,1,"rect",2,0.304838704317808
"wine-quality-white",0.450163424015045,1024,1,"rect",4,0.294086027657613
"wine-quality-white",0.179738566279411,1024,1,"rect",3,0.282526882179081
"wine-quality-white",0.0351307205855846,256,1,"rect",16,0.269086017971858
"wine-quality-white",0.450163424015045,1024,1,"rect",2,0.266129033267498
"wine-quality-white",0.0040849675424397,256,1,"rect",8,0.229838715540245
"wine-quality-white",0.297385632991791,512,1,"rect",4,0.216935489885509
"wine-quality-white",0.0040849675424397,256,1,"rect",3,0.0680107530206442
"wine-quality-white",0.0040849675424397,1024,1,"rect",16,0.0233870969619602
"wine-quality-white",0.0040849675424397,1024,1,"rect",32,0.00537634408101439
