"dataset","testAccuracy","layerForm","learningrate","valAccuracy","nlayers","nhidden"
"trains",1,"cone",0.01,1,16,256
"trains",0,"cone",0.01,1,8,1024
"trains",0.5,"rect",0.01,1,8,1024
"trains",0.5,"cone",0.01,1,8,512
"trains",1,"rect",0.01,1,8,512
"trains",0.5,"rect",0.01,1,8,256
"trains",1,"cone",0.1,1,8,1024
"trains",0.5,"rect",0.1,1,8,1024
"trains",0.5,"rect",0.1,1,8,512
"trains",0.5,"cone",0.01,1,4,1024
"trains",1,"rect",0.01,1,4,1024
"trains",1,"cone",0.01,1,4,512
"trains",1,"rect",0.01,1,4,512
"trains",1,"cone",0.01,1,4,256
"trains",0.5,"rect",0.01,1,4,256
"trains",0.5,"cone",0.1,1,4,1024
"trains",1,"cone",0.1,1,4,512
"trains",1,"rect",0.1,1,4,512
"trains",1,"cone",0.1,1,4,256
"trains",1,"cone",0.01,1,3,1024
"trains",1,"rect",0.01,1,3,1024
"trains",1,"cone",0.01,1,3,512
"trains",1,"rect",0.01,1,3,512
"trains",1,"cone",0.01,1,3,256
"trains",1,"rect",0.01,1,3,256
"trains",1,"cone",0.1,1,3,1024
"trains",1,"rect",0.1,1,3,1024
"trains",1,"cone",0.1,1,3,512
"trains",1,"rect",0.1,1,3,512
"trains",1,"cone",0.1,1,3,256
"trains",0.5,"rect",0.1,1,3,256
"trains",1,"cone",0.01,1,2,1024
"trains",1,"rect",0.01,1,2,1024
"trains",0.5,"cone",0.01,1,2,512
"trains",1,"rect",0.01,1,2,512
"trains",0.5,"cone",0.01,1,2,256
"trains",1,"rect",0.01,1,2,256
"trains",1,"cone",0.1,1,2,1024
"trains",0.5,"rect",0.1,1,2,1024
"trains",1,"cone",0.1,1,2,512
"trains",1,"rect",0.1,1,2,512
"trains",0.5,"cone",0.1,1,2,256
"trains",1,"rect",0.1,1,2,256
"trains",0.5,"cone",0.1,0.9,8,512
"trains",0.5,"rect",0.1,0.9,4,256
"trains",0.5,"cone",0.01,0.8,16,1024
"trains",1,"rect",0.01,0.8,16,1024
"trains",0,"rect",0.01,0.8,16,512
"trains",0.5,"cone",1,0.7,32,256
"trains",0.5,"rect",1,0.7,8,512
"trains",0.5,"rect",0.1,0.7,4,1024
"trains",0.5,"rect",1,0.7,4,1024
"trains",0.5,"cone",1,0.7,4,512
"trains",0.5,"rect",0.01,0.6,32,1024
"trains",0.5,"cone",1,0.6,32,1024
"trains",0.5,"cone",1,0.6,32,512
"trains",0.5,"rect",0.1,0.6,16,512
"trains",0.5,"cone",1,0.6,16,1024
"trains",0.5,"rect",0.1,0.6,8,256
"trains",0.5,"cone",1,0.6,8,512
"trains",0.5,"cone",1,0.6,8,256
"trains",1,"rect",1,0.6,4,256
"trains",0.5,"rect",1,0.6,3,1024
"trains",1,"cone",1,0.6,3,256
"trains",0.5,"rect",0.01,0.5,32,512
"trains",0.5,"rect",1,0.5,32,256
"trains",0.5,"rect",0.01,0.5,16,256
"trains",0.5,"rect",0.1,0.5,16,1024
"trains",0.5,"cone",1,0.5,8,1024
"trains",0.5,"rect",1,0.5,8,1024
"trains",0.5,"cone",1,0.5,4,256
"trains",0.5,"cone",1,0.5,3,1024
"trains",0.5,"cone",1,0.5,2,256
"trains",0.5,"rect",0.01,0.4,32,256
"trains",0.5,"rect",0.1,0.4,32,1024
"trains",0.5,"rect",0.1,0.4,32,512
"trains",0.5,"rect",1,0.4,32,512
"trains",0.5,"cone",1,0.4,16,512
"trains",0.5,"cone",1,0.4,16,256
"trains",0.5,"rect",1,0.4,8,256
"trains",0.5,"rect",1,0.4,3,512
"trains",0.5,"cone",1,0.4,2,512
"trains",1,"rect",1,0.4,2,512
"trains",0.5,"rect",0.1,0.3,32,256
"trains",0.5,"rect",1,0.3,16,1024
"trains",0.5,"cone",1,0.3,4,1024
"trains",0,"cone",1,0.3,3,512
"trains",1,"rect",1,0.3,3,256
"trains",0.5,"rect",0.1,0.2,16,256
"trains",0.5,"rect",1,0.2,16,256
"trains",1,"cone",0.01,0.2,8,256
"trains",0.5,"cone",1,0.2,2,1024
"trains",1,"rect",1,0.2,2,1024
"trains",0.5,"rect",1,0.1,16,512
"trains",0.5,"cone",0.01,0,32,1024
"trains",0.5,"cone",0.01,0,32,512
"trains",0.5,"cone",0.01,0,32,256
"trains",0.5,"cone",0.1,0,32,1024
"trains",0.5,"cone",0.1,0,32,512
"trains",0.5,"cone",0.1,0,32,256
"trains",0.5,"rect",1,0,32,1024
"trains",0.5,"cone",0.01,0,16,512
"trains",0.5,"cone",0.1,0,16,1024
"trains",0.5,"cone",0.1,0,16,512
"trains",0.5,"cone",0.1,0,16,256
"trains",0.5,"cone",0.1,0,8,256
"trains",0.5,"rect",1,0,4,512
"trains",0.5,"rect",1,0,2,256
