"dataset","learningrate","testAccuracy","layerForm","valAccuracy","nhidden","nlayers"
"teaching",0.01,0.631578922271729,"rect",0.680000042915344,256,8
"teaching",0.1,0.526315808296204,"cone",0.670000034570694,1024,3
"teaching",0.01,0.578947365283966,"rect",0.650000035762787,256,16
"teaching",0.01,0.552631556987762,"cone",0.640000033378601,1024,4
"teaching",0.1,0.578947365283966,"rect",0.640000027418137,1024,3
"teaching",0.1,0.526315748691559,"cone",0.630000030994415,256,3
"teaching",0.01,0.552631556987762,"cone",0.630000030994415,1024,2
"teaching",1,0.473684221506119,"cone",0.630000030994415,1024,3
"teaching",0.01,0.578947365283966,"rect",0.630000025033951,1024,3
"teaching",0.01,0.631578981876373,"cone",0.62000002861023,256,3
"teaching",0.01,0.552631556987762,"rect",0.62000002861023,1024,8
"teaching",0.1,0.552631616592407,"cone",0.62000002861023,512,4
"teaching",0.1,0.552631556987762,"cone",0.62000002861023,256,4
"teaching",0.1,0.421052604913712,"cone",0.620000022649765,512,3
"teaching",0.01,0.552631556987762,"cone",0.610000026226044,1024,3
"teaching",1,0.578947365283966,"cone",0.610000026226044,512,3
"teaching",0.1,0.526315748691559,"cone",0.610000026226044,1024,2
"teaching",1,0.578947424888611,"cone",0.610000026226044,512,2
"teaching",0.01,0.473684191703796,"rect",0.610000020265579,512,8
"teaching",0.1,0.552631616592407,"cone",0.600000023841858,512,8
"teaching",0.1,0.39473682641983,"rect",0.600000023841858,256,8
"teaching",0.01,0.552631616592407,"rect",0.600000023841858,512,4
"teaching",0.01,0.526315808296204,"cone",0.600000023841858,512,2
"teaching",0.01,0.5,"rect",0.600000023841858,256,2
"teaching",0.1,0.552631616592407,"rect",0.600000017881393,256,3
"teaching",0.1,0.552631556987762,"cone",0.590000021457672,1024,8
"teaching",0.01,0.578947365283966,"rect",0.590000021457672,256,3
"teaching",0.01,0.552631616592407,"rect",0.590000021457672,512,16
"teaching",0.01,0.473684221506119,"rect",0.580000022053719,1024,4
"teaching",0.01,0.552631556987762,"rect",0.580000019073486,256,4
"teaching",1,0.473684191703796,"cone",0.580000019073486,1024,4
"teaching",0.1,0.473684221506119,"rect",0.580000019073486,256,2
"teaching",0.01,0.552631556987762,"cone",0.570000019669533,256,2
"teaching",0.01,0.5,"cone",0.570000016689301,512,4
"teaching",0.1,0.552631556987762,"rect",0.570000016689301,1024,2
"teaching",0.1,0.5,"cone",0.560000017285347,256,8
"teaching",0.1,0.5,"cone",0.560000014305115,1024,4
"teaching",1,0.394736856222153,"cone",0.560000014305115,512,4
"teaching",0.01,0.526315808296204,"rect",0.550000014901161,512,3
"teaching",0.1,0.447368443012238,"rect",0.550000011920929,512,4
"teaching",0.1,0.631578981876373,"cone",0.53000001013279,256,2
"teaching",0.1,0.473684221506119,"rect",0.53000001013279,512,3
"teaching",1,0.421052634716034,"cone",0.53000001013279,1024,2
"teaching",0.1,0.473684221506119,"cone",0.530000007152557,512,2
"teaching",0.1,0.447368443012238,"rect",0.520000013709068,512,2
"teaching",0.01,0.60526317358017,"rect",0.520000010728836,1024,16
"teaching",0.01,0.473684191703796,"rect",0.520000010728836,1024,2
"teaching",0.01,0.473684221506119,"rect",0.520000004768372,512,2
"teaching",1,0.447368413209915,"cone",0.510000011324883,256,2
"teaching",0.01,0.421052634716034,"cone",0.51000000834465,512,8
"teaching",0.1,0.578947365283966,"rect",0.500000008940697,256,4
"teaching",0.01,0.368421077728271,"cone",0.5,512,32
"teaching",0.01,0.368421077728271,"cone",0.5,256,32
"teaching",1,0.421052604913712,"cone",0.48000001013279,256,3
"teaching",0.01,0.368421047925949,"cone",0.480000001192093,1024,8
"teaching",1,0.447368443012238,"cone",0.470000007748604,256,4
"teaching",0.01,0.473684191703796,"cone",0.470000004768372,256,4
"teaching",1,0.473684191703796,"cone",0.460000002384186,256,8
"teaching",0.1,0.447368443012238,"rect",0.450000008940697,1024,4
"teaching",0.01,0.421052634716034,"cone",0.450000002980232,256,16
"teaching",0.01,0.5,"cone",0.450000002980232,512,3
"teaching",0.1,0.447368413209915,"rect",0.440000003576279,1024,16
"teaching",0.1,0.473684191703796,"rect",0.440000003576279,256,16
"teaching",1,0.315789461135864,"rect",0.440000003576279,1024,4
"teaching",0.1,0.368421077728271,"rect",0.430000007152557,512,8
"teaching",0.01,0.184210538864136,"cone",0.400000005960465,1024,16
"teaching",0.01,0.368421047925949,"cone",0.400000005960465,512,16
"teaching",1,0.315789461135864,"rect",0.400000005960464,256,3
"teaching",1,0.368421077728271,"rect",0.400000002980232,256,16
"teaching",0.01,0.39473682641983,"rect",0.390000006556511,512,32
"teaching",1,0.368421077728271,"rect",0.380000004172325,512,4
"teaching",0.1,0.447368413209915,"rect",0.36000000834465,1024,8
"teaching",1,0.315789461135864,"rect",0.360000005364418,256,4
"teaching",0.01,0.315789461135864,"rect",0.360000002384186,256,32
"teaching",0.1,0.315789461135864,"cone",0.360000002384186,256,32
"teaching",0.1,0.289473712444305,"rect",0.350000007450581,512,16
"teaching",1,0.39473682641983,"rect",0.350000007450581,256,2
"teaching",1,0.315789461135864,"rect",0.350000004470348,512,16
"teaching",1,0.368421077728271,"cone",0.350000004470348,512,16
"teaching",0.01,0.368421077728271,"rect",0.340000006556511,1024,32
"teaching",1,0.315789461135864,"rect",0.340000006556511,256,32
"teaching",0.1,0.368421047925949,"cone",0.340000006556511,512,16
"teaching",1,0.368421077728271,"rect",0.340000003576279,1024,8
"teaching",0.1,0.368421077728271,"rect",0.340000003576279,512,32
"teaching",0.01,0.421052664518356,"cone",0.330000008642674,256,8
"teaching",1,0.315789461135864,"rect",0.330000005662441,256,8
"teaching",1,0.368421077728271,"rect",0.330000005662441,512,2
"teaching",1,0.236842110753059,"cone",0.320000010728836,512,8
"teaching",1,0.315789461135864,"rect",0.320000004768372,512,32
"teaching",1,0.315789461135864,"rect",0.320000004768372,1024,32
"teaching",1,0.368421077728271,"cone",0.320000004768372,512,32
"teaching",0.1,0.289473682641983,"cone",0.310000011324883,256,16
"teaching",1,0.315789461135864,"rect",0.310000009834766,1024,16
"teaching",1,0.315789461135864,"cone",0.310000006854534,256,16
"teaching",1,0.315789461135864,"rect",0.310000005364418,1024,3
"teaching",1,0.315789461135864,"cone",0.310000003874302,1024,32
