"dataset","learningrate","layerForm","testAccuracy","nhidden","nlayers","valAccuracy"
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.820175409317017,512,3,0.863291168212891
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.793859660625458,512,3,0.862025320529938
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.837719261646271,256,3,0.853164553642273
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.833333373069763,512,4,0.849367088079453
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.828947365283966,1024,3,0.845569610595703
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.84649121761322,1024,2,0.844303786754608
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.80701744556427,256,2,0.841772139072418
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.828947365283966,512,2,0.840506339073181
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.802631616592407,512,3,0.839240515232086
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.824561417102814,256,2,0.839240503311157
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.820175468921661,256,2,0.836708879470825
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.85526317358017,1024,2,0.834177207946778
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.767543911933899,1024,3,0.832911401987076
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.842105269432068,256,3,0.832911396026611
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.837719321250916,1024,3,0.831645548343659
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.815789580345154,1024,2,0.83037976026535
"oocytes_trisopterus_nucleus_2f",1,"cone",0.741228103637695,512,4,0.829113948345184
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.820175468921661,1024,4,0.829113912582398
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.828947305679321,512,2,0.827848124504089
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.842105269432068,256,2,0.824050623178482
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.771929800510406,256,3,0.822784858942032
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.828947365283966,512,2,0.821518993377686
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.820175409317017,1024,3,0.820253175497055
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.811403512954712,1024,4,0.81772153377533
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.79824560880661,512,2,0.817721498012543
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.754385948181152,1024,8,0.813924062252045
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.824561476707458,256,4,0.813924050331116
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.820175468921661,512,8,0.812658256292343
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.820175409317017,1024,2,0.811392426490784
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.815789461135864,256,3,0.81139240860939
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.824561417102814,512,4,0.808860766887665
"oocytes_trisopterus_nucleus_2f",1,"cone",0.780701756477356,512,2,0.805063319206238
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.771929800510406,512,4,0.803797495365143
"oocytes_trisopterus_nucleus_2f",1,"cone",0.793859660625458,1024,3,0.802531671524048
"oocytes_trisopterus_nucleus_2f",1,"cone",0.80701756477356,256,2,0.802531671524048
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.789473712444305,1024,8,0.802531599998474
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.802631616592407,512,4,0.797468400001526
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.79824560880661,256,4,0.797468364238739
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.754386007785797,512,3,0.79113929271698
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.820175468921661,1024,4,0.791139256954193
"oocytes_trisopterus_nucleus_2f",1,"cone",0.789473652839661,256,3,0.787341815233231
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.745614051818848,1024,8,0.786076009273529
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.688596427440643,256,4,0.784810173511505
"oocytes_trisopterus_nucleus_2f",1,"cone",0.811403512954712,1024,4,0.784810173511505
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.780701756477356,512,8,0.784810161590576
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.780701756477356,1024,4,0.784810161590576
"oocytes_trisopterus_nucleus_2f",1,"cone",0.714912295341492,512,3,0.782278519868851
"oocytes_trisopterus_nucleus_2f",1,"cone",0.785087764263153,256,4,0.778481060266495
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.758771955966949,512,16,0.777215242385864
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.780701756477356,256,8,0.762025356292725
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.763157904148102,1024,16,0.754430413246155
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.767543911933899,256,16,0.746835470199585
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.785087645053864,256,8,0.739240527153015
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.780701816082001,256,4,0.739240527153015
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.697368443012238,1024,8,0.713924050331116
"oocytes_trisopterus_nucleus_2f",1,"cone",0.618421077728271,1024,8,0.679746842384338
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.622807025909424,256,8,0.673417747020721
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.565789461135864,512,8,0.670886081457138
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.535087764263153,256,8,0.655696219205856
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.578947365283966,1024,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.578947365283966,512,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.578947365283966,256,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.578947365283966,1024,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.578947365283966,1024,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.578947365283966,512,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.578947365283966,256,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,1024,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,512,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,256,32,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.578947365283966,1024,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.578947365283966,256,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.578947365283966,1024,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.578947365283966,512,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.1,"cone",0.578947365283966,256,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,1024,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,512,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,256,16,0.632911443710327
"oocytes_trisopterus_nucleus_2f",1,"cone",0.578947365283966,256,8,0.632911443710327
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.583333313465118,256,32,0.631645578145981
"oocytes_trisopterus_nucleus_2f",1,"cone",0.456140339374542,512,8,0.630379769206047
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.508771896362305,512,16,0.610126584768295
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.578947365283966,256,32,0.606329160928726
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,1024,32,0.606329160928726
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,1024,8,0.606329160928726
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,256,8,0.606329160928726
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052604913712,1024,4,0.606329160928726
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.504385948181152,1024,16,0.606329157948494
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.517543852329254,512,32,0.598734217882156
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,1024,3,0.581012696027756
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,512,4,0.581012684106827
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,512,32,0.579746878147125
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,512,16,0.579746878147125
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,256,16,0.579746878147125
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.618421077728271,512,8,0.578481030464172
"oocytes_trisopterus_nucleus_2f",1,"rect",0.578947365283966,256,2,0.574683573842049
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.508771896362305,512,32,0.567088639736176
"oocytes_trisopterus_nucleus_2f",0.01,"rect",0.578947365283966,1024,32,0.565822803974152
"oocytes_trisopterus_nucleus_2f",0.1,"rect",0.578947365283966,256,16,0.55316458940506
"oocytes_trisopterus_nucleus_2f",1,"cone",0.587719261646271,1024,2,0.548101279139519
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052634716034,512,3,0.512658256292343
"oocytes_trisopterus_nucleus_2f",1,"rect",0.434210538864136,512,2,0.481012666225433
"oocytes_trisopterus_nucleus_2f",1,"rect",0.570175409317017,256,3,0.477215206623077
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052634716034,256,4,0.470886096358299
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052634716034,512,8,0.448101279139519
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052604913712,256,32,0.42025318145752
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052604913712,1024,2,0.396202540397644
"oocytes_trisopterus_nucleus_2f",1,"rect",0.421052604913712,1024,16,0.394936722517014
"oocytes_trisopterus_nucleus_2f",0.01,"cone",0.421052634716034,512,16,0.367088615894318
