"dataset","testAccuracy","learningrate","nhidden","valAccuracy","layerForm","nlayers"
"zoo",0.959999978542328,0.01,1024,1,"cone",4
"zoo",0.959999978542328,0.01,512,1,"cone",2
"zoo",0.959999978542328,0.01,512,0.875,"rect",8
"zoo",0.959999978542328,0.01,256,0.875,"rect",8
"zoo",0.919999957084656,0.01,512,0.875,"rect",4
"zoo",0.879999995231628,0.01,256,0.875,"cone",4
"zoo",0.959999978542328,0.1,1024,0.875,"rect",4
"zoo",1,0.1,512,0.875,"rect",3
"zoo",1,0.01,1024,0.875,"rect",2
"zoo",0.959999978542328,0.01,256,0.875,"rect",2
"zoo",1,0.1,1024,0.875,"cone",2
"zoo",1,0.1,512,0.875,"rect",2
"zoo",1,1,256,0.7875,"cone",3
"zoo",1,0.01,256,0.775,"rect",16
"zoo",1,0.1,256,0.775,"cone",2
"zoo",0.959999978542328,1,1024,0.775,"cone",2
"zoo",1,1,1024,0.7625,"cone",3
"zoo",0.919999957084656,0.01,512,0.75,"rect",16
"zoo",0.919999957084656,0.01,512,0.75,"cone",8
"zoo",0.959999978542328,0.1,256,0.75,"rect",8
"zoo",0.959999978542328,0.01,1024,0.75,"rect",4
"zoo",0.959999978542328,0.01,256,0.75,"rect",4
"zoo",0.959999978542328,0.1,1024,0.75,"cone",4
"zoo",1,0.1,512,0.75,"cone",4
"zoo",1,0.1,256,0.75,"cone",4
"zoo",1,0.1,256,0.75,"rect",4
"zoo",1,1,256,0.75,"cone",4
"zoo",0.959999978542328,0.01,1024,0.75,"rect",3
"zoo",0.959999978542328,0.01,512,0.75,"cone",3
"zoo",0.919999957084656,0.01,256,0.75,"rect",3
"zoo",0.959999978542328,0.1,1024,0.75,"cone",3
"zoo",0.959999978542328,0.1,512,0.75,"cone",3
"zoo",0.959999978542328,0.1,256,0.75,"cone",3
"zoo",1,0.1,256,0.75,"rect",3
"zoo",1,1,512,0.75,"cone",3
"zoo",1,0.01,1024,0.75,"cone",2
"zoo",0.959999978542328,0.01,512,0.75,"rect",2
"zoo",0.959999978542328,0.01,256,0.75,"cone",2
"zoo",1,0.1,1024,0.75,"rect",2
"zoo",1,0.1,512,0.75,"cone",2
"zoo",0.959999978542328,0.1,256,0.75,"rect",2
"zoo",1,1,512,0.75,"cone",2
"zoo",1,1,256,0.75,"cone",2
"zoo",1,0.1,512,0.7375,"rect",8
"zoo",0.959999978542328,0.1,512,0.675,"cone",8
"zoo",0.959999978542328,0.01,1024,0.6625,"cone",8
"zoo",0.919999957084656,1,1024,0.65,"cone",4
"zoo",0.919999957084656,0.01,1024,0.6375,"cone",16
"zoo",0.839999973773956,0.1,1024,0.6375,"rect",8
"zoo",1,0.01,1024,0.625,"rect",16
"zoo",0.919999957084656,0.01,512,0.625,"cone",16
"zoo",1,0.01,1024,0.625,"rect",8
"zoo",0.879999995231628,0.01,256,0.625,"cone",8
"zoo",0.959999978542328,0.1,256,0.625,"cone",8
"zoo",0.879999995231628,0.01,512,0.625,"cone",4
"zoo",0.959999978542328,0.1,512,0.625,"rect",4
"zoo",0.959999978542328,1,512,0.625,"cone",4
"zoo",0.959999978542328,0.01,1024,0.625,"cone",3
"zoo",0.919999957084656,0.01,512,0.625,"rect",3
"zoo",0.959999978542328,0.01,256,0.625,"cone",3
