"dataset","nlayers","testAccuracy","nhidden","learningrate","layerForm","valAccuracy"
"credit-approval",32,0.558139562606812,512,0.1,"rect",0.493617022037506
"credit-approval",32,0.558139562606812,1024,1,"rect",0.493617022037506
"credit-approval",32,0.558139562606812,256,1,"cone",0.493617022037506
"credit-approval",32,0.558139562606812,512,0.1,"cone",0.491489362716675
"credit-approval",32,0.558139562606812,256,0.1,"rect",0.491489362716675
"credit-approval",16,0.558139562606812,1024,0.1,"cone",0.491489362716675
"credit-approval",16,0.558139562606812,256,1,"cone",0.491489362716675
"credit-approval",32,0.558139562606812,1024,0.01,"cone",0.489361703395844
"credit-approval",32,0.558139562606812,512,0.01,"cone",0.489361703395844
"credit-approval",32,0.558139562606812,256,0.01,"cone",0.489361703395844
"credit-approval",32,0.558139562606812,1024,0.1,"cone",0.489361703395844
"credit-approval",32,0.558139562606812,256,0.1,"cone",0.489361703395844
"credit-approval",32,0.558139562606812,1024,1,"cone",0.489361703395844
"credit-approval",16,0.558139562606812,1024,0.01,"cone",0.489361703395844
"credit-approval",16,0.558139562606812,256,0.01,"cone",0.489361703395844
"credit-approval",16,0.558139562606812,256,0.1,"cone",0.489361703395844
"credit-approval",16,0.558139562606812,512,1,"cone",0.485106384754181
