"dataset","testAccuracy","nhidden","valAccuracy","layerForm","nlayers","learningrate"
"dermatology",0.94505500793457,1024,1,"rect",16,0.01
"dermatology",0.934065937995911,512,1,"rect",16,0.01
"dermatology",0.923076987266541,512,1,"rect",8,0.01
"dermatology",0.934065937995911,1024,1,"cone",8,0.1
"dermatology",0.934065937995911,512,1,"cone",8,0.1
"dermatology",0.9670330286026,512,1,"rect",8,0.1
"dermatology",0.94505500793457,256,1,"cone",8,0.1
"dermatology",0.9670330286026,256,1,"rect",8,0.1
"dermatology",0.9670330286026,512,1,"cone",8,1
"dermatology",0.9670330286026,1024,1,"cone",4,0.01
"dermatology",0.9670330286026,1024,1,"rect",4,0.01
"dermatology",0.9670330286026,512,1,"cone",4,0.01
"dermatology",0.95604395866394,512,1,"rect",4,0.01
"dermatology",0.95604395866394,256,1,"rect",4,0.01
"dermatology",0.97802197933197,1024,1,"cone",4,0.1
"dermatology",0.97802197933197,1024,1,"rect",4,0.1
"dermatology",0.9670330286026,512,1,"cone",4,0.1
"dermatology",0.97802197933197,512,1,"rect",4,0.1
"dermatology",0.94505500793457,256,1,"cone",4,0.1
"dermatology",0.95604395866394,256,1,"rect",4,0.1
"dermatology",0.94505500793457,1024,1,"cone",4,1
"dermatology",0.95604395866394,512,1,"cone",4,1
"dermatology",0.95604395866394,256,1,"cone",4,1
"dermatology",0.94505500793457,1024,1,"cone",3,0.01
"dermatology",0.923076987266541,1024,1,"rect",3,0.01
"dermatology",0.9670330286026,512,1,"cone",3,0.01
"dermatology",0.9670330286026,512,1,"rect",3,0.01
"dermatology",0.95604395866394,256,1,"cone",3,0.01
"dermatology",0.934065937995911,256,1,"rect",3,0.01
"dermatology",0.9670330286026,1024,1,"cone",3,0.1
"dermatology",0.94505500793457,1024,1,"rect",3,0.1
"dermatology",0.95604395866394,512,1,"cone",3,0.1
"dermatology",0.9670330286026,512,1,"rect",3,0.1
"dermatology",0.95604395866394,256,1,"cone",3,0.1
"dermatology",0.94505500793457,256,1,"rect",3,0.1
"dermatology",0.9670330286026,1024,1,"cone",3,1
"dermatology",0.94505500793457,512,1,"cone",3,1
"dermatology",0.95604395866394,256,1,"cone",3,1
"dermatology",0.94505500793457,256,1,"rect",3,1
"dermatology",0.934065937995911,1024,1,"cone",2,0.01
"dermatology",0.95604395866394,1024,1,"rect",2,0.01
"dermatology",0.9670330286026,512,1,"cone",2,0.01
"dermatology",0.934065937995911,512,1,"rect",2,0.01
"dermatology",0.98901104927063,256,1,"rect",2,0.01
"dermatology",0.9670330286026,1024,1,"cone",2,0.1
"dermatology",0.9670330286026,1024,1,"rect",2,0.1
"dermatology",0.95604395866394,512,1,"cone",2,0.1
"dermatology",0.95604395866394,512,1,"rect",2,0.1
"dermatology",0.9670330286026,256,1,"cone",2,0.1
"dermatology",0.9670330286026,256,1,"rect",2,0.1
"dermatology",0.95604395866394,1024,1,"cone",2,1
"dermatology",0.9670330286026,512,1,"cone",2,1
"dermatology",0.9670330286026,512,1,"rect",2,1
"dermatology",0.94505500793457,256,1,"cone",2,1
"dermatology",0.94505500793457,256,1,"rect",2,1
"dermatology",0.95604395866394,256,0.981818199157715,"rect",16,0.1
