"dataset","valAccuracy","learningrate","nhidden","nlayers","testAccuracy","layerForm"
"nursery",0.331646853685379,0.1,512,32,0.333641976118088,"cone"
"nursery",0.331646853685379,1,1024,4,0.312037020921707,"rect"
"nursery",0.331349238753319,1,512,3,0.33364200592041,"rect"
"nursery",0.330853196978569,0.1,256,32,0.333641976118088,"rect"
"nursery",0.330555582046509,1,512,32,0.33364200592041,"rect"
"nursery",0.330555579066277,1,512,4,0.333641976118088,"rect"
"nursery",0.330555573105812,0.1,512,32,0.312037020921707,"rect"
"nursery",0.330257973074913,1,1024,32,0.33364200592041,"cone"
"nursery",0.329761937260628,1,256,2,0.333641976118088,"rect"
"nursery",0.328075432777405,1,1024,32,0.333641976118088,"rect"
"nursery",0.327480190992355,1,256,32,0.329012364149094,"rect"
"nursery",0.32559526860714,1,1024,16,0.312037020921707,"rect"
"nursery",0.324206379055977,1,1024,8,0.312037020921707,"rect"
"nursery",0.321726217865944,1,256,4,0.312037020921707,"rect"
"nursery",0.294246056675911,1,512,16,0.312037020921707,"rect"
