"dataset","nlayers","layerForm","valAccuracy","learningrate","testAccuracy","nhidden"
"statlog-australian-credit",4,"cone",0.6950000166893,0.01,0.627906978130341,256
"statlog-australian-credit",2,"cone",0.665000009536743,1,0.622093021869659,1024
"statlog-australian-credit",8,"cone",0.662499976158142,0.01,0.529069781303406,256
"statlog-australian-credit",4,"cone",0.657500046491623,0.01,0.610465109348297,512
"statlog-australian-credit",3,"cone",0.65250004529953,0.01,0.616279065608978,256
"statlog-australian-credit",2,"rect",0.652500033378601,0.01,0.639534890651703,512
"statlog-australian-credit",2,"cone",0.647500032186508,1,0.627906978130341,256
"statlog-australian-credit",8,"rect",0.647500014305115,0.01,0.639534890651703,256
"statlog-australian-credit",3,"cone",0.639999997615814,0.01,0.610465109348297,1024
"statlog-australian-credit",3,"rect",0.630000007152557,0.01,0.604651153087616,256
"statlog-australian-credit",8,"cone",0.629999995231628,0.1,0.645348846912384,1024
"statlog-australian-credit",4,"cone",0.627500015497208,1,0.610465109348297,1024
"statlog-australian-credit",2,"cone",0.62749999165535,0.1,0.610465109348297,1024
"statlog-australian-credit",4,"cone",0.625000017881393,0.1,0.668604671955109,256
"statlog-australian-credit",2,"cone",0.622500014305115,0.1,0.616279065608978,512
"statlog-australian-credit",3,"cone",0.622499990463257,1,0.662790715694427,256
"statlog-australian-credit",4,"cone",0.619999998807907,1,0.651162803173065,256
"statlog-australian-credit",16,"rect",0.617500001192093,0.01,0.651162803173065,256
"statlog-australian-credit",4,"cone",0.617499995231628,0.1,0.587209343910217,1024
"statlog-australian-credit",4,"cone",0.615000027418137,0.1,0.656976759433746,512
"statlog-australian-credit",3,"rect",0.615000009536743,0.1,0.622093021869659,1024
"statlog-australian-credit",4,"rect",0.615000003576279,0.01,0.610465109348297,256
"statlog-australian-credit",8,"rect",0.612500011920929,0.1,0.627906978130341,512
"statlog-australian-credit",3,"cone",0.612500011920929,0.1,0.639534890651703,512
"statlog-australian-credit",2,"cone",0.610000014305115,1,0.459302306175232,512
"statlog-australian-credit",4,"rect",0.607500016689301,0.1,0.627906978130341,256
"statlog-australian-credit",3,"cone",0.607500010728836,1,0.505813956260681,1024
"statlog-australian-credit",2,"rect",0.607500010728836,0.1,0.604651153087616,256
"statlog-australian-credit",2,"rect",0.605000028014183,0.01,0.622093021869659,1024
"statlog-australian-credit",3,"cone",0.605000025033951,0.1,0.645348846912384,256
"statlog-australian-credit",2,"cone",0.605000019073486,0.01,0.633720934391022,512
"statlog-australian-credit",4,"rect",0.605000001192093,0.01,0.558139503002167,512
"statlog-australian-credit",4,"rect",0.602500021457672,0.1,0.610465109348297,1024
"statlog-australian-credit",4,"rect",0.602500009536743,0.1,0.593023240566254,512
"statlog-australian-credit",2,"cone",0.600000023841858,0.01,0.651162803173065,256
"statlog-australian-credit",3,"rect",0.600000017881393,0.01,0.627906978130341,1024
"statlog-australian-credit",2,"rect",0.600000017881393,0.1,0.593023240566254,512
"statlog-australian-credit",3,"rect",0.600000005960464,0.1,0.598837196826935,512
"statlog-australian-credit",8,"rect",0.597500014305115,0.1,0.593023240566254,256
"statlog-australian-credit",3,"rect",0.597500014305115,0.1,0.593023240566254,256
"statlog-australian-credit",2,"cone",0.597500002384186,0.1,0.633720934391022,256
"statlog-australian-credit",3,"rect",0.592500025033951,0.01,0.633720934391022,512
"statlog-australian-credit",2,"rect",0.592500001192093,0.1,0.598837196826935,1024
"statlog-australian-credit",16,"rect",0.582500016689301,0.01,0.627906978130341,512
"statlog-australian-credit",3,"cone",0.580000025033951,0.1,0.57558137178421,1024
"statlog-australian-credit",2,"cone",0.577499997615814,0.01,0.616279065608978,1024
"statlog-australian-credit",16,"rect",0.575000029802322,0.01,0.651162803173065,1024
"statlog-australian-credit",4,"cone",0.575000011920929,1,0.697674453258514,512
"statlog-australian-credit",32,"rect",0.570000016689301,0.01,0.680232584476471,256
"statlog-australian-credit",3,"cone",0.570000016689301,1,0.633720934391022,512
"statlog-australian-credit",4,"rect",0.567500001192093,0.01,0.587209284305573,1024
"statlog-australian-credit",8,"cone",0.565000003576279,0.01,0.633720934391022,1024
"statlog-australian-credit",2,"rect",0.564999997615814,0.01,0.610465109348297,256
"statlog-australian-credit",8,"cone",0.552500015497208,0.1,0.604651153087616,512
"statlog-australian-credit",16,"rect",0.550000017881394,0.1,0.656976759433746,256
"statlog-australian-credit",16,"rect",0.550000011920929,0.1,0.558139562606812,1024
"statlog-australian-credit",8,"cone",0.550000011920929,1,0.662790715694427,512
"statlog-australian-credit",4,"cone",0.547500014305115,0.01,0.610465109348297,1024
"statlog-australian-credit",2,"rect",0.545000028610229,1,0.651162803173065,256
"statlog-australian-credit",3,"rect",0.535000029206276,1,0.319767445325851,512
