"dataset","nlayers","testAccuracy","learningrate","layerForm","valAccuracy","nhidden"
"contrac",3,0.42934787273407,1,"rect",0.523809552192688,1024
"contrac",2,0.429347842931747,1,"rect",0.523809552192688,512
"contrac",2,0.42934787273407,1,"rect",0.523809552192688,256
"contrac",4,0.49456524848938,1,"cone",0.520634973049164,1024
"contrac",16,0.429347783327103,0.01,"rect",0.519047683477402,512
"contrac",8,0.423913061618805,1,"cone",0.517460364103317,512
"contrac",16,0.415760904550552,0.01,"cone",0.515079396963119,256
"contrac",16,0.42934787273407,0.1,"cone",0.511904793977737,512
"contrac",8,0.47826087474823,0.01,"rect",0.505555611848831,1024
"contrac",4,0.486413031816483,1,"cone",0.50396831035614,512
"contrac",16,0.470108687877655,0.01,"cone",0.503174644708633,512
"contrac",8,0.434782594442368,0.01,"cone",0.500793707370758,1024
"contrac",16,0.429347842931747,1,"cone",0.500000029802322,1024
"contrac",16,0.42934787273407,1,"cone",0.500000029802322,512
"contrac",32,0.429347842931747,0.1,"cone",0.500000029802322,512
"contrac",16,0.426630437374115,0.1,"rect",0.497619086503983,1024
"contrac",16,0.421195596456528,0.1,"rect",0.496825438737869,512
"contrac",16,0.434782594442368,0.01,"cone",0.48809529542923,1024
"contrac",8,0.448369592428207,0.01,"rect",0.487301662564278,512
"contrac",16,0.440217405557632,0.01,"rect",0.485714349150658,256
"contrac",8,0.50543475151062,1,"cone",0.483333390951157,256
"contrac",32,0.429347842931747,0.1,"rect",0.476190507411957,256
"contrac",16,0.345108687877655,1,"cone",0.476190507411957,256
"contrac",4,0.429347842931747,1,"rect",0.466666695475578,1024
"contrac",16,0.41576087474823,0.1,"rect",0.457142901420593,256
"contrac",32,0.345108687877655,0.1,"rect",0.457142889499664,512
"contrac",8,0.42934787273407,1,"rect",0.452380985021591,512
"contrac",2,0.42934787273407,1,"rect",0.452380985021591,1024
"contrac",32,0.43478262424469,0.01,"cone",0.444444498419762,256
"contrac",32,0.225543469190598,1,"rect",0.442857173085213,1024
"contrac",32,0.345108687877655,0.01,"rect",0.44285717010498,1024
"contrac",8,0.41847825050354,1,"cone",0.435714337229729,1024
"contrac",32,0.39402174949646,0.01,"rect",0.428571471571922,256
"contrac",16,0.429347842931747,1,"rect",0.428571462631226,1024
"contrac",32,0.345108687877655,0.01,"rect",0.419841304421425,512
"contrac",16,0.429347842931747,1,"rect",0.419047650694847,512
"contrac",32,0.42934787273407,1,"rect",0.409523838758469,256
"contrac",16,0.429347842931747,1,"rect",0.40000002682209,256
"contrac",4,0.429347842931747,1,"rect",0.395238128304482,512
"contrac",8,0.345108687877655,1,"rect",0.395238128304481,1024
"contrac",3,0.345108687877655,1,"rect",0.390476229786873,256
"contrac",32,0.42934787273407,1,"rect",0.380952417850494,512
"contrac",8,0.429347842931747,1,"rect",0.371428605914116,256
"contrac",3,0.42934787273407,1,"rect",0.367460355162621,512
"contrac",32,0.342391312122345,0.01,"cone",0.295238137245178,1024
