"dataset","testAccuracy","valAccuracy","nlayers","layerForm","nhidden","learningrate"
"balance-scale",0.987179458141327,0.988000005483627,8,"cone",512,0.1
"balance-scale",0.974358975887299,0.980000019073486,4,"cone",1024,1
"balance-scale",0.980769217014313,0.980000019073486,3,"cone",256,0.1
"balance-scale",0.993589758872986,0.980000019073486,3,"rect",256,0.1
"balance-scale",0.987179458141327,0.980000019073486,2,"cone",1024,0.1
"balance-scale",0.993589699268341,0.978000020980835,3,"cone",512,0.1
"balance-scale",0.987179458141327,0.976000022888184,2,"cone",1024,0.01
"balance-scale",0.987179517745972,0.974000024795532,2,"rect",256,0.1
"balance-scale",0.993589758872986,0.970000028610229,2,"cone",512,0.1
"balance-scale",0.967948734760284,0.968000030517578,3,"rect",1024,0.1
"balance-scale",0.955128192901611,0.964000034332276,2,"cone",256,0.01
"balance-scale",0.974358975887299,0.964000034332276,3,"cone",256,1
"balance-scale",0.974358916282654,0.964000034332275,3,"cone",1024,0.1
"balance-scale",0.974358975887299,0.964000034332275,2,"rect",1024,0.1
"balance-scale",0.967948734760284,0.962000036239624,3,"rect",512,0.1
"balance-scale",0.961538434028625,0.962000036239624,3,"cone",1024,1
"balance-scale",0.967948734760284,0.960000038146973,8,"cone",1024,0.1
"balance-scale",0.96153849363327,0.960000038146973,8,"rect",256,0.1
"balance-scale",0.942307710647583,0.960000038146973,4,"cone",1024,0.01
"balance-scale",0.987179458141327,0.960000038146973,4,"rect",512,0.1
"balance-scale",0.974358975887299,0.960000038146973,2,"cone",256,1
"balance-scale",0.974358975887299,0.960000032186508,3,"cone",512,1
"balance-scale",0.955128192901611,0.959999978542328,8,"rect",512,0.1
"balance-scale",0.980769217014313,0.958000040054321,2,"cone",512,1
"balance-scale",0.96794867515564,0.958000034093857,2,"cone",512,0.01
"balance-scale",0.948717951774597,0.95600004196167,3,"cone",512,0.01
"balance-scale",0.987179458141327,0.95600004196167,2,"rect",512,0.1
"balance-scale",0.974358975887299,0.956000036001206,2,"cone",256,0.1
"balance-scale",0.942307710647583,0.955999982357025,4,"cone",512,0.01
"balance-scale",0.961538434028625,0.954000014066696,4,"cone",1024,0.1
"balance-scale",0.974358975887299,0.950000035762787,2,"cone",1024,1
"balance-scale",0.974358975887299,0.948000013828278,8,"cone",1024,1
"balance-scale",0.980769217014313,0.946000015735626,4,"cone",512,0.1
"balance-scale",0.967948734760284,0.944000047445297,4,"cone",512,1
"balance-scale",0.929487228393555,0.943999993801117,4,"rect",1024,0.01
"balance-scale",0.987179458141327,0.94200005531311,4,"cone",256,0.1
"balance-scale",0.974358975887299,0.940000057220459,8,"cone",256,0.1
"balance-scale",0.967948734760284,0.940000057220459,4,"rect",1024,0.1
"balance-scale",0.987179458141327,0.940000057220459,4,"rect",256,0.1
"balance-scale",0.92948716878891,0.940000003576279,8,"rect",512,0.01
"balance-scale",0.923076927661896,0.939999997615814,2,"rect",256,0.01
"balance-scale",0.948717951774597,0.938000005483627,4,"cone",256,1
"balance-scale",0.929487228393555,0.934000009298325,32,"rect",512,0.01
"balance-scale",0.903846144676208,0.932000005245209,3,"rect",512,0.01
"balance-scale",0.967948734760284,0.929999977350235,8,"rect",1024,0.1
"balance-scale",0.955128192901611,0.928000015020371,2,"rect",1024,0.01
"balance-scale",0.948717951774597,0.925999975204468,16,"rect",256,0.1
"balance-scale",0.910256385803223,0.924000012874603,16,"rect",512,0.01
"balance-scale",0.897435903549194,0.92399999499321,8,"cone",256,1
"balance-scale",0.897435903549194,0.920000016689301,16,"rect",1024,0.01
"balance-scale",0.916666686534882,0.920000016689301,8,"rect",1024,0.01
"balance-scale",0.961538434028625,0.920000016689301,4,"rect",512,0.01
"balance-scale",0.916666626930237,0.920000016689301,4,"rect",256,0.01
"balance-scale",0.935897469520569,0.920000016689301,3,"rect",1024,0.01
"balance-scale",0.955128192901611,0.920000016689301,3,"rect",256,0.01
"balance-scale",0.948717951774597,0.920000016689301,2,"rect",512,0.01
"balance-scale",0.903846144676208,0.919999957084656,8,"rect",256,0.01
"balance-scale",0.929487228393555,0.914000004529953,3,"cone",256,0.01
"balance-scale",0.910256385803223,0.910000026226044,8,"cone",1024,0.01
"balance-scale",0.897435963153839,0.902000033855438,16,"rect",256,0.01
"balance-scale",0.910256385803223,0.901999980211258,8,"cone",256,0.01
"balance-scale",0.884615421295166,0.899999976158142,4,"cone",256,0.01
"balance-scale",0.935897469520569,0.899999976158142,3,"cone",1024,0.01
"balance-scale",0.858974397182465,0.881999975442886,8,"cone",512,0.01
"balance-scale",0.89102566242218,0.871999967098236,8,"cone",512,1
"balance-scale",0.897435903549194,0.869999992847443,16,"cone",1024,0.1
"balance-scale",0.858974397182465,0.863999974727631,16,"cone",1024,0.01
"balance-scale",0.891025602817535,0.861999958753586,16,"cone",256,0.01
"balance-scale",0.756410241127014,0.746000003814697,16,"cone",512,0.01
"balance-scale",0.60256415605545,0.605999982357025,32,"rect",256,0.01
"balance-scale",0.653846204280853,0.599999964237213,16,"rect",512,0.1
"balance-scale",0.666666746139526,0.580000042915344,16,"cone",256,0.1
"balance-scale",0.493589758872986,0.519999957084656,16,"rect",1024,0.1
"balance-scale",0.46153849363327,0.5,32,"cone",1024,0.01
"balance-scale",0.46153849363327,0.5,32,"cone",256,0.01
"balance-scale",0.46153849363327,0.491999989748001,2,"rect",512,1
"balance-scale",0.46153849363327,0.469999992847443,4,"rect",256,1
"balance-scale",0.46153849363327,0.469999992847443,32,"cone",512,0.1
"balance-scale",0.46153849363327,0.469999992847443,32,"rect",512,0.1
"balance-scale",0.46153849363327,0.469999992847443,32,"rect",512,1
"balance-scale",0.46153849363327,0.465999984741211,32,"rect",1024,0.01
"balance-scale",0.46153849363327,0.463999983668327,16,"cone",512,1
"balance-scale",0.46153849363327,0.459999990463257,16,"cone",512,0.1
"balance-scale",0.46153849363327,0.459999990463257,32,"rect",256,0.1
"balance-scale",0.467948764562607,0.459999990463257,32,"cone",1024,1
"balance-scale",0.461538463830948,0.459999990463257,32,"cone",256,1
"balance-scale",0.46153849363327,0.449999988079071,32,"rect",1024,0.1
"balance-scale",0.46153849363327,0.449999988079071,32,"cone",512,1
"balance-scale",0.46153849363327,0.449999988079071,16,"cone",256,1
"balance-scale",0.46153849363327,0.439999994635582,16,"rect",512,1
"balance-scale",0.46153849363327,0.439999985694885,16,"cone",1024,1
"balance-scale",0.46153849363327,0.439999985694885,32,"cone",256,0.1
"balance-scale",0.46153849363327,0.429999992251396,16,"rect",256,1
"balance-scale",0.46153849363327,0.429999983310699,32,"cone",1024,0.1
"balance-scale",0.46153849363327,0.41999998986721,32,"rect",1024,1
"balance-scale",0.46153849363327,0.413999971747398,8,"rect",1024,1
"balance-scale",0.46153849363327,0.409999987483025,16,"rect",1024,1
"balance-scale",0.46153849363327,0.409999987483025,3,"rect",512,1
"balance-scale",0.416666716337204,0.409999978542328,32,"cone",512,0.01
"balance-scale",0.46153849363327,0.399999985098839,4,"rect",1024,1
"balance-scale",0.0769230797886848,0.38999999165535,8,"rect",256,1
"balance-scale",0.46153849363327,0.379999989271164,32,"rect",256,1
"balance-scale",0.46153849363327,0.3759999781847,3,"rect",1024,1
"balance-scale",0.46153849363327,0.365999987721443,2,"rect",256,1
"balance-scale",0.46153849363327,0.335999989509583,3,"rect",256,1
"balance-scale",0.0769230797886848,0.303999987244606,4,"rect",512,1
"balance-scale",0.0769230797886848,0.257999989390373,2,"rect",1024,1
"balance-scale",0.0769230797886848,0.249999985098839,8,"rect",512,1
