"dataset","layerForm","valAccuracy","nlayers","nhidden","testAccuracy","learningrate"
"image-segmentation","rect",0.904166680574417,3,1024,0.883809387683868,0.1
"image-segmentation","cone",0.900000011920929,2,512,0.927142739295959,0.1
"image-segmentation","cone",0.891666674613953,3,512,0.91428554058075,0.1
"image-segmentation","cone",0.887500017881394,3,1024,0.901428401470184,1
"image-segmentation","cone",0.883333349227905,4,512,0.89809513092041,1
"image-segmentation","rect",0.883333337306976,3,256,0.888571262359619,0.1
"image-segmentation","cone",0.875000011920929,3,256,0.903333187103271,1
"image-segmentation","cone",0.870833337306976,4,512,0.906666576862335,0.1
"image-segmentation","rect",0.870833337306976,2,256,0.916666626930237,0.1
"image-segmentation","rect",0.866666686534882,4,512,0.915237963199615,0.1
"image-segmentation","rect",0.866666668653488,3,512,0.877142786979675,0.01
"image-segmentation","cone",0.854166686534882,2,1024,0.915714144706726,0.1
"image-segmentation","rect",0.850000023841858,8,512,0.900952219963074,0.1
"image-segmentation","cone",0.850000017881394,2,256,0.91428554058075,1
"image-segmentation","cone",0.837500023841858,16,512,0.822380840778351,0.01
"image-segmentation","cone",0.833333373069763,8,1024,0.875238001346588,0.1
"image-segmentation","cone",0.833333373069763,4,1024,0.88095223903656,0.01
"image-segmentation","rect",0.833333373069763,2,256,0.882380843162537,0.01
"image-segmentation","cone",0.833333367109299,3,256,0.899523675441742,0.1
"image-segmentation","rect",0.829166704416275,4,256,0.890952229499817,0.01
"image-segmentation","cone",0.829166698455811,8,512,0.884761810302734,0.1
"image-segmentation","rect",0.825000035762787,8,256,0.831904649734497,0.01
"image-segmentation","cone",0.825000023841858,4,1024,0.824761867523193,1
"image-segmentation","cone",0.825000023841858,2,1024,0.888095080852509,1
"image-segmentation","cone",0.820833367109299,4,256,0.88142853975296,1
"image-segmentation","rect",0.816666698455811,2,1024,0.899523675441742,0.1
"image-segmentation","cone",0.816666698455811,2,1024,0.898571312427521,0.01
"image-segmentation","cone",0.812500029802323,3,1024,0.877618968486786,0.01
"image-segmentation","cone",0.808333361148834,2,512,0.874285578727722,0.01
"image-segmentation","cone",0.808333361148834,4,512,0.86809515953064,0.01
"image-segmentation","cone",0.804166692495346,4,256,0.889999866485596,0.1
"image-segmentation","rect",0.795833361148834,8,256,0.907618880271912,0.1
"image-segmentation","rect",0.795833361148834,2,512,0.90666651725769,0.1
"image-segmentation","rect",0.79583335518837,4,256,0.90666651725769,0.1
"image-segmentation","cone",0.791666692495346,2,256,0.888571321964264,0.1
"image-segmentation","cone",0.791666686534882,16,256,0.721904695034027,0.01
"image-segmentation","cone",0.791666686534882,8,256,0.869047582149506,0.1
"image-segmentation","cone",0.791666686534882,3,1024,0.907618880271912,0.1
"image-segmentation","rect",0.791666686534882,3,256,0.865714192390442,0.01
"image-segmentation","cone",0.791666680574417,3,512,0.907618880271912,1
"image-segmentation","rect",0.787500017881394,4,1024,0.899047493934631,0.01
"image-segmentation","rect",0.787500017881394,3,512,0.890476107597351,0.1
"image-segmentation","rect",0.78333335518837,3,1024,0.891428470611572,0.01
