"dataset","layerForm","valAccuracy","nlayers","nhidden","testAccuracy","learningrate"
"image-segmentation","rect",0.783333349227905,4,1024,0.816190361976624,0.1
"image-segmentation","rect",0.775000017881394,4,512,0.897142767906189,0.01
"image-segmentation","cone",0.775000017881394,2,512,0.900952339172363,1
"image-segmentation","rect",0.775000011920929,2,1024,0.90238082408905,0.01
"image-segmentation","cone",0.775000011920929,2,256,0.83857136964798,0.01
"image-segmentation","rect",0.762500005960465,8,1024,0.873333215713501,0.01
"image-segmentation","rect",0.762500005960465,2,512,0.882857084274292,0.01
"image-segmentation","rect",0.762500005960464,16,512,0.865238010883331,0.01
"image-segmentation","cone",0.750000011920929,8,512,0.761904656887054,0.01
"image-segmentation","cone",0.75,3,512,0.886190414428711,0.01
"image-segmentation","rect",0.745833337306976,16,1024,0.871904671192169,0.01
"image-segmentation","cone",0.741666674613953,8,1024,0.845238029956818,0.01
"image-segmentation","cone",0.720833361148834,3,256,0.847618937492371,0.01
"image-segmentation","cone",0.712500017881393,4,1024,0.811428487300873,0.1
"image-segmentation","cone",0.708333373069763,8,256,0.782380819320679,0.01
"image-segmentation","rect",0.691666698455811,16,256,0.823809444904327,0.01
"image-segmentation","cone",0.687500029802322,4,256,0.83904755115509,0.01
"image-segmentation","cone",0.683333361148834,16,1024,0.717142820358276,0.01
"image-segmentation","rect",0.666666686534881,8,512,0.857142746448517,0.01
"image-segmentation","cone",0.579166668653488,8,1024,0.668571352958679,1
"image-segmentation","rect",0.566666686534882,8,1024,0.76666659116745,0.1
"image-segmentation","cone",0.462500008940697,16,1024,0.477142840623856,0.1
"image-segmentation","rect",0.433333349227905,32,512,0.421904772520065,0.01
"image-segmentation","cone",0.375000005960465,8,512,0.417142868041992,1
"image-segmentation","rect",0.295833347737789,16,256,0.276190459728241,0.1
"image-segmentation","rect",0.250000014901161,32,1024,0.283809512853622,0.01
"image-segmentation","cone",0.250000007450581,16,512,0.400000005960464,0.1
"image-segmentation","cone",0.25,32,256,0.142857134342194,0.01
"image-segmentation","rect",0.245833341777325,16,1024,0.28571429848671,0.1
"image-segmentation","cone",0.212500008940697,32,1024,0.142857149243355,0.01
"image-segmentation","rect",0.208333343267441,32,512,0.142857134342194,1
"image-segmentation","rect",0.208333343267441,16,256,0.142857134342194,1
"image-segmentation","rect",0.208333343267441,8,512,0.142857134342194,1
"image-segmentation","rect",0.208333343267441,2,1024,0.142857134342194,1
"image-segmentation","rect",0.20833333954215,2,256,0.167142868041992,1
"image-segmentation","rect",0.200000004470348,3,512,0.142857134342194,1
"image-segmentation","rect",0.195833338797092,4,1024,0.142857149243355,1
"image-segmentation","rect",0.191666670143604,8,256,0.142857134342194,1
"image-segmentation","rect",0.187500006332994,4,512,0.122380957007408,1
"image-segmentation","rect",0.187500005960464,4,256,0.142857134342194,1
"image-segmentation","rect",0.183333341777325,3,256,0.180952370166779,1
"image-segmentation","rect",0.183333340659738,2,512,0.131428569555283,1
"image-segmentation","rect",0.183333340287209,16,512,0.269047617912292,0.1
"image-segmentation","rect",0.183333336561918,32,256,0.142857134342194,1
"image-segmentation","cone",0.179166673123837,8,256,0.256190448999405,1
"image-segmentation","rect",0.175000006332994,32,1024,0.142857149243355,1
"image-segmentation","rect",0.170833337679505,32,512,0.142857149243355,0.1
"image-segmentation","rect",0.16250000372529,8,1024,0.142857134342194,1
"image-segmentation","rect",0.162500003352761,16,1024,0.142857134342194,1
"image-segmentation","rect",0.141666670143604,3,1024,0.142857134342194,1
"image-segmentation","rect",0.133333336561918,16,512,0.142857149243355,1
"image-segmentation","rect",0.12916667163372,32,256,0.142857134342194,0.1
"image-segmentation","rect",0.129166670516133,32,256,0.142857149243355,0.01
"image-segmentation","rect",0.125000004097819,32,1024,0.142857149243355,0.1
"image-segmentation","cone",0.10416666790843,16,1024,0.142857149243355,1
"image-segmentation","cone",0.100000001862645,16,256,0.285238057374954,0.1
"image-segmentation","cone",0.0875000022351742,32,256,0.142857149243355,1
"image-segmentation","cone",0.0833333361893892,16,512,0.142857134342194,1
"image-segmentation","cone",0.0833333358168602,32,512,0.142857134342194,0.01
"image-segmentation","cone",0.0833333354443312,32,256,0.141904756426811,0.1
"image-segmentation","cone",0.0791666682809591,16,256,0.142857134342194,1
"image-segmentation","cone",0.0750000026077032,32,1024,0.142857149243355,1
"image-segmentation","cone",0.0708333354443312,32,512,0.142857134342194,0.1
"image-segmentation","cone",0.0666666686534882,32,512,0.142857134342194,1
"image-segmentation","cone",0.0500000014901161,32,1024,0.142857134342194,0.1
