"dataset","nlayers","valAccuracy","testAccuracy","nhidden","learningrate","layerForm"
"glass",2,0.28571429848671,0.320754706859589,256,1,"rect"
"glass",3,0.280952391028404,0.0754716992378235,256,1,"cone"
"glass",16,0.271428580582142,0.0566037744283676,1024,1,"rect"
"glass",2,0.261904771625996,0.0754716992378235,512,1,"rect"
"glass",8,0.261904770880938,0.377358496189117,1024,1,"rect"
"glass",16,0.252380961924791,0.320754706859589,512,1,"rect"
"glass",32,0.242857151478529,0.377358496189117,1024,1,"rect"
"glass",4,0.238095247745514,0.320754706859589,256,1,"rect"
"glass",8,0.228571437299252,0.0754716992378235,256,1,"rect"
"glass",3,0.22380953207612,0.377358496189117,1024,1,"rect"
"glass",3,0.219047627598047,0.0377358496189117,512,1,"rect"
"glass",4,0.219047626107931,0.320754706859589,1024,1,"rect"
