"dataset","testAccuracy","valAccuracy","nlayers","nhidden","layerForm","learningrate"
"wall-following",0.912756621837616,0.916359484195709,2,512,"rect",0.01
"wall-following",0.905425250530243,0.913824886083603,3,1024,"rect",0.01
"wall-following",0.914956033229828,0.913364034891128,2,256,"rect",0.1
"wall-following",0.912023484706879,0.913133609294892,3,512,"cone",0.1
"wall-following",0.912756621837616,0.912672793865204,3,512,"rect",0.01
"wall-following",0.901759564876556,0.910829484462738,4,1024,"cone",0.1
"wall-following",0.911290347576141,0.909907817840576,2,1024,"rect",0.01
"wall-following",0.914222896099091,0.90967743396759,2,256,"cone",0.1
"wall-following",0.924486815929413,0.909447014331818,3,512,"cone",1
"wall-following",0.911290347576141,0.906682044267655,2,256,"cone",1
"wall-following",0.901759564876556,0.906451606750488,3,256,"rect",0.1
"wall-following",0.905425250530243,0.905760371685028,8,1024,"rect",0.1
"wall-following",0.898827016353607,0.905299550294876,3,256,"rect",0.01
"wall-following",0.900293290615082,0.905299538373947,2,512,"cone",0.01
"wall-following",0.915689170360565,0.90506911277771,3,1024,"rect",0.1
"wall-following",0.908357799053192,0.903917044401169,2,512,"rect",0.1
"wall-following",0.914222896099091,0.903456205129624,2,1024,"cone",0.1
"wall-following",0.905425250530243,0.902764964103699,3,512,"rect",0.1
"wall-following",0.901759505271912,0.90253456234932,8,1024,"cone",1
"wall-following",0.915689170360565,0.902304136753082,4,1024,"cone",1
"wall-following",0.906891524791718,0.902304130792618,2,1024,"cone",1
"wall-following",0.905425250530243,0.902073740959168,3,1024,"cone",0.1
"wall-following",0.895161330699921,0.90207371711731,4,256,"cone",0.1
"wall-following",0.909090936183929,0.901843309402466,3,256,"cone",1
"wall-following",0.918621718883514,0.901843303442001,8,512,"cone",1
"wall-following",0.910557210445404,0.901612907648087,3,256,"cone",0.1
"wall-following",0.907624661922455,0.901612883806229,4,512,"rect",0.1
"wall-following",0.900293290615082,0.90115208029747,4,1024,"rect",0.01
"wall-following",0.905425250530243,0.900691264867783,16,256,"rect",0.1
"wall-following",0.89809387922287,0.900460815429688,2,256,"cone",0.01
"wall-following",0.899560153484344,0.900000035762787,4,1024,"cone",0.01
"wall-following",0.891495645046234,0.899308747053146,4,512,"cone",1
"wall-following",0.910557210445404,0.899078363180161,2,256,"rect",0.01
"wall-following",0.914222896099091,0.899078357219696,2,1024,"cone",0.01
"wall-following",0.904692113399506,0.899078339338303,2,512,"cone",1
"wall-following",0.903225839138031,0.898847931623459,8,512,"cone",0.1
"wall-following",0.90615838766098,0.898387062549591,8,1024,"cone",0.1
"wall-following",0.887829959392548,0.897235023975372,4,256,"cone",1
"wall-following",0.899560153484344,0.89723499417305,4,256,"rect",0.01
"wall-following",0.900293290615082,0.896543776988983,8,256,"rect",0.1
"wall-following",0.909090936183929,0.895161283016205,4,256,"rect",0.1
"wall-following",0.911290347576141,0.894239616394043,3,1024,"cone",1
"wall-following",0.910557210445404,0.894239610433579,2,512,"cone",0.1
"wall-following",0.898827016353607,0.893317955732346,8,512,"rect",0.1
"wall-following",0.896627604961395,0.893317955732346,4,512,"rect",0.01
"wall-following",0.889296233654022,0.891705054044724,3,512,"cone",0.01
"wall-following",0.900293290615082,0.890783399343491,3,1024,"cone",0.01
"wall-following",0.903958976268768,0.889631307125092,4,1024,"rect",0.1
"wall-following",0.912023484706879,0.889400899410248,2,1024,"rect",0.1
"wall-following",0.88709682226181,0.888248854875565,16,1024,"cone",0.01
"wall-following",0.8790323138237,0.888248842954636,16,512,"rect",0.1
"wall-following",0.895161330699921,0.887096762657166,8,256,"cone",0.1
"wall-following",0.894428193569183,0.886866343021393,4,512,"cone",0.1
"wall-following",0.878299117088318,0.88271889090538,8,512,"rect",0.01
"wall-following",0.884164214134216,0.880184334516525,16,1024,"rect",0.01
"wall-following",0.877566039562225,0.874654364585877,8,1024,"rect",0.01
"wall-following",0.866568982601166,0.874423944950104,32,512,"rect",0.01
"wall-following",0.884897351264954,0.871889382600784,3,256,"cone",0.01
"wall-following",0.895894467830658,0.870506900548935,4,512,"cone",0.01
"wall-following",0.866568982601166,0.868433165550232,8,256,"rect",0.01
"wall-following",0.884164273738861,0.865437763929367,4,256,"cone",0.01
"wall-following",0.864369571208954,0.865207356214523,8,512,"cone",0.01
"wall-following",0.865102708339691,0.863824903964996,16,512,"rect",0.01
"wall-following",0.854838728904724,0.863824862241745,8,1024,"cone",0.01
"wall-following",0.866568922996521,0.857603704929352,16,256,"rect",0.01
"wall-following",0.869501531124115,0.852073723077774,8,256,"cone",0.01
"wall-following",0.829178988933563,0.841244232654572,32,1024,"rect",0.01
"wall-following",0.843841671943665,0.832027643918991,16,256,"cone",0.01
"wall-following",0.843108534812927,0.830645161867142,32,256,"rect",0.01
"wall-following",0.829912066459656,0.827649784088135,16,512,"cone",0.01
"wall-following",0.728738963603973,0.723732715845108,16,512,"cone",0.1
"wall-following",0.582111418247223,0.599539172649384,16,1024,"cone",1
"wall-following",0.606304943561554,0.597695869207382,8,256,"cone",1
"wall-following",0.613636374473572,0.590783423185349,16,256,"cone",0.1
"wall-following",0.423020511865616,0.41105988919735,32,256,"cone",0.01
"wall-following",0.404692053794861,0.410829481482506,32,512,"cone",0.01
"wall-following",0.404692053794861,0.410138249397278,32,1024,"cone",0.01
"wall-following",0.404692053794861,0.410138237476349,2,256,"rect",1
"wall-following",0.404692053794861,0.410138234496117,3,256,"rect",1
"wall-following",0.404692053794861,0.410138231515884,32,512,"rect",1
"wall-following",0.404692053794861,0.410138231515884,32,256,"rect",1
"wall-following",0.404692053794861,0.410138228535652,32,1024,"cone",1
"wall-following",0.404692053794861,0.410138228535652,16,512,"rect",1
"wall-following",0.404692053794861,0.410138228535652,2,1024,"rect",1
"wall-following",0.404692113399506,0.41013822555542,16,1024,"cone",0.1
"wall-following",0.404692053794861,0.41013822555542,4,256,"rect",1
"wall-following",0.404692053794861,0.40645160973072,32,512,"rect",0.1
"wall-following",0.404692053794861,0.406451603770256,32,1024,"cone",0.1
"wall-following",0.404692053794861,0.406451597809792,32,512,"cone",1
"wall-following",0.404692053794861,0.406451594829559,32,256,"rect",0.1
"wall-following",0.404692053794861,0.406451591849327,32,512,"cone",0.1
"wall-following",0.404692053794861,0.406451591849327,8,1024,"rect",1
"wall-following",0.384164243936539,0.40276497900486,32,256,"cone",0.1
"wall-following",0.384164243936539,0.402764973044395,32,1024,"rect",1
"wall-following",0.404692053794861,0.402764967083931,16,256,"cone",1
"wall-following",0.384164243936539,0.402764958143234,32,256,"cone",1
"wall-following",0.384164243936539,0.399078342318535,16,1024,"rect",1
"wall-following",0.384164243936539,0.399078342318535,16,512,"cone",1
"wall-following",0.384164243936539,0.399078342318535,8,256,"rect",1
"wall-following",0.384164243936539,0.399078339338303,32,1024,"rect",0.1
"wall-following",0.384164243936539,0.399078330397606,3,512,"rect",1
"wall-following",0.400293231010437,0.398156678676605,16,1024,"rect",0.1
"wall-following",0.384164243936539,0.391705068945885,4,512,"rect",1
"wall-following",0.388563066720963,0.373271885514259,2,512,"rect",1
"wall-following",0.404692053794861,0.366820278763771,3,1024,"rect",1
"wall-following",0.384164243936539,0.363594478368759,8,512,"rect",1
"wall-following",0.384164243936539,0.350230410695076,16,256,"rect",1
"wall-following",0.384164243936539,0.33133640922606,4,1024,"rect",1
