"dataset","testAccuracy","layerForm","valAccuracy","learningrate","nlayers","nhidden"
"car",0.990740716457367,"rect",1,0.1,3,512
"car",0.976851999759674,"rect",1,0.1,3,256
"car",0.979166805744171,"cone",1,0.01,2,1024
"car",0.976851880550385,"cone",0.997887313365936,0.1,3,1024
"car",0.979166805744171,"cone",0.996478855609894,0.1,3,512
"car",0.981481552124023,"cone",0.994366192817688,1,8,512
"car",0.986111223697662,"cone",0.992957735061646,1,3,256
"car",0.983796417713165,"rect",0.992957735061645,0.01,4,512
"car",0.983796358108521,"cone",0.992957735061645,1,4,512
"car",0.97222226858139,"rect",0.992957729101181,0.1,8,256
"car",0.983796298503876,"rect",0.992957729101181,0.1,4,1024
"car",0.969907462596893,"cone",0.992957723140717,0.01,2,512
"car",0.97222226858139,"cone",0.992957711219787,0.1,8,256
"car",0.990740835666656,"cone",0.992253506183624,1,4,1024
"car",0.979166805744171,"cone",0.992253494262695,0.1,2,512
"car",0.983796298503876,"cone",0.992253488302231,0.1,4,512
"car",0.986111223697662,"rect",0.991549271345139,0.1,2,256
"car",0.981481611728668,"cone",0.991549265384674,0.1,2,1024
"car",0.983796417713165,"rect",0.99154925942421,0.1,3,1024
"car",0.97222226858139,"cone",0.990845054388046,0.01,3,1024
"car",0.981481611728668,"rect",0.990845042467117,0.1,2,1024
"car",0.986111223697662,"cone",0.990845042467117,1,2,1024
"car",0.986111223697662,"cone",0.99014083147049,1,3,1024
"car",0.972222208976746,"cone",0.988028126955032,0.01,4,1024
"car",0.981481492519379,"rect",0.987323927879333,0.1,8,1024
"car",0.969907402992249,"rect",0.987323921918869,0.01,4,256
"car",0.981481611728668,"cone",0.987323904037475,0.1,4,256
"car",0.981481492519379,"cone",0.987323898077011,0.1,4,1024
"car",0.988426029682159,"cone",0.986619710922241,1,2,512
"car",0.988426029682159,"cone",0.985915488004685,1,2,256
"car",0.988426029682159,"cone",0.98591548204422,1,3,512
"car",0.949074149131775,"cone",0.98591548204422,0.01,3,256
"car",0.979166686534882,"rect",0.98591548204422,1,2,256
"car",0.986111223697662,"rect",0.985915458202362,0.1,8,512
"car",0.986111104488373,"cone",0.985211265087128,0.1,8,512
"car",0.988426029682159,"cone",0.984507036209106,0.1,2,256
"car",0.986111164093018,"rect",0.983802789449692,0.1,4,256
"car",0.976851940155029,"cone",0.983098578453064,1,4,256
"car",0.979166686534882,"rect",0.983098578453064,0.1,4,512
"car",0.981481611728668,"cone",0.98169014453888,1,8,256
"car",0.979166686534882,"rect",0.980985885858536,0.01,2,1024
"car",0.981481552124023,"rect",0.980281698703766,0.1,2,512
"car",0.981481552124023,"cone",0.979577451944351,0.1,3,256
"car",0.967592597007751,"rect",0.978873240947724,0.01,2,256
"car",0.983796298503876,"rect",0.978873240947723,0.01,3,1024
"car",0.974537074565887,"rect",0.978873234987259,0.01,2,512
"car",0.972222328186035,"rect",0.978873193264008,0.01,3,512
