"dataset","valAccuracy","learningrate","testAccuracy","layerForm","nhidden","nlayers"
"statlog-image",0.986956560611725,0.1,0.975736498832703,"rect",1024,2
"statlog-image",0.986335444450378,0.1,0.968804121017456,"rect",256,2
"statlog-image",0.985714322328568,0.1,0.975736498832703,"rect",1024,3
"statlog-image",0.985093212127686,0.1,0.975736498832703,"rect",512,2
"statlog-image",0.985093206167221,0.01,0.97053724527359,"rect",1024,2
"statlog-image",0.985093206167221,0.01,0.960138618946075,"rect",256,2
"statlog-image",0.983850967884064,0.1,0.974003434181213,"rect",256,4
"statlog-image",0.983229863643646,0.01,0.968804121017456,"rect",256,3
"statlog-image",0.983229857683182,0.1,0.961871683597565,"rect",512,8
"statlog-image",0.981987625360489,0.1,0.963604867458344,"cone",256,4
"statlog-image",0.981987619400025,1,0.97053724527359,"cone",1024,2
"statlog-image",0.981366515159607,0.01,0.953206181526184,"cone",256,4
"statlog-image",0.981366515159607,0.01,0.970537185668945,"rect",256,4
"statlog-image",0.981366509199143,0.01,0.972270309925079,"cone",512,4
"statlog-image",0.980745381116867,0.01,0.94107449054718,"cone",256,3
"statlog-image",0.980745381116867,0.1,0.961871743202209,"rect",256,3
"statlog-image",0.980745375156403,0.1,0.970537304878235,"rect",1024,8
"statlog-image",0.980745375156403,1,0.979202747344971,"cone",256,4
"statlog-image",0.980745369195938,0.1,0.968804121017456,"cone",1024,4
"statlog-image",0.98012427687645,0.1,0.977469623088837,"cone",512,8
"statlog-image",0.979503166675568,1,0.972270369529724,"cone",512,3
"statlog-image",0.978882038593292,0.1,0.956672370433807,"cone",1024,3
"statlog-image",0.978260922431946,1,0.977469563484192,"cone",256,2
"statlog-image",0.978260916471482,0.01,0.949740052223206,"cone",512,3
"statlog-image",0.978260916471481,0.1,0.968804121017456,"rect",512,3
"statlog-image",0.977639800310135,0.01,0.975736498832703,"rect",512,3
"statlog-image",0.97763979434967,0.1,0.977469682693481,"rect",1024,4
"statlog-image",0.977018696069718,0.1,0.968804121017456,"cone",512,3
"statlog-image",0.977018690109253,0.01,0.970537185668945,"cone",1024,3
"statlog-image",0.97701867222786,0.01,0.970537185668945,"cone",1024,2
"statlog-image",0.976397573947907,0.1,0.968804121017456,"cone",256,2
"statlog-image",0.976397562026978,0.1,0.942807614803314,"rect",512,4
"statlog-image",0.973913109302521,0.1,0.965337932109833,"cone",1024,2
"statlog-image",0.9714286506176,0.01,0.963604807853699,"rect",1024,3
"statlog-image",0.971428632736206,0.1,0.970537185668945,"cone",1024,8
"statlog-image",0.97080751657486,0.1,0.965337872505188,"cone",512,2
"statlog-image",0.970186400413513,0.01,0.967070996761322,"cone",512,2
