"dataset","learningrate","layerForm","nhidden","testAccuracy","valAccuracy","nlayers"
"ecoli",0.01,"cone",256,0.785714328289032,0.760606050491333,8
"ecoli",0.1,"cone",256,0.880952477455139,0.760606050491333,8
"ecoli",0.01,"rect",1024,0.761904835700989,0.757575762271881,16
"ecoli",0.01,"cone",1024,0.821428537368774,0.757575750350952,3
"ecoli",0.01,"rect",256,0.833333373069763,0.757575750350952,3
"ecoli",0.01,"rect",256,0.797619104385376,0.754545450210571,16
"ecoli",0.01,"cone",512,0.857142925262451,0.754545450210571,3
"ecoli",0.01,"cone",512,0.833333373069763,0.745454549789429,8
"ecoli",0.01,"rect",512,0.821428656578064,0.742424249649048,4
"ecoli",0.01,"cone",512,0.785714387893677,0.736363649368286,16
"ecoli",0.01,"cone",1024,0.821428656578064,0.733333349227905,8
"ecoli",0.01,"cone",512,0.845238149166107,0.73030304312706,4
"ecoli",0.01,"rect",512,0.845238089561462,0.724242448806763,8
"ecoli",0.01,"rect",256,0.833333373069763,0.721212148666382,8
"ecoli",0.01,"cone",1024,0.86904764175415,0.718181848526001,16
"ecoli",0.1,"cone",1024,0.773809552192688,0.696969747543335,16
"ecoli",1,"cone",256,0.797619104385376,0.657575726509094,8
"ecoli",0.1,"rect",512,0.63095235824585,0.654545474052429,8
"ecoli",0.01,"rect",512,0.607142865657806,0.612121230363846,32
"ecoli",0.1,"cone",256,0.63095235824585,0.60606062412262,16
"ecoli",1,"cone",512,0.785714328289032,0.603030300140381,8
"ecoli",1,"cone",1024,0.595238089561462,0.584848502278328,16
"ecoli",0.01,"cone",1024,0.714285731315613,0.575757622718811,32
"ecoli",0.1,"rect",1024,0.595238089561462,0.55757577419281,16
"ecoli",0.1,"rect",512,0.619047582149506,0.551515161991119,16
"ecoli",0.1,"rect",1024,0.238095253705978,0.439393955469131,8
"ecoli",0.1,"rect",256,0.452380955219269,0.418181830644607,16
"ecoli",1,"cone",1024,0.380952417850494,0.363636374473572,32
"ecoli",0.01,"cone",512,0.452380955219269,0.363636374473572,32
"ecoli",0.01,"cone",256,0.452380955219269,0.363636374473572,32
"ecoli",0.1,"cone",1024,0.452380955219269,0.363636374473572,32
"ecoli",0.1,"rect",1024,0.452380955219269,0.363636374473572,32
"ecoli",0.1,"cone",512,0.452380955219269,0.363636374473572,32
"ecoli",0.1,"rect",512,0.452380955219269,0.363636374473572,32
"ecoli",0.1,"cone",256,0.452380955219269,0.363636374473572,32
"ecoli",0.1,"rect",256,0.452380955219269,0.363636374473572,32
"ecoli",1,"cone",512,0.452380955219269,0.363636374473572,32
"ecoli",1,"cone",256,0.452380955219269,0.363636374473572,32
"ecoli",1,"cone",512,0.452380955219269,0.363636374473572,16
"ecoli",1,"rect",512,0.452380955219269,0.363636374473572,16
"ecoli",1,"cone",1024,0.452380955219269,0.363636374473572,8
"ecoli",1,"rect",1024,0.452380955219269,0.363636374473572,3
