"dataset","nhidden","nlayers","learningrate","layerForm","valAccuracy","testAccuracy"
"statlog-german-credit",256,3,1,"rect",0.684931516647339,0.700000047683716
"statlog-german-credit",512,2,1,"rect",0.684931516647339,0.699999988079071
"statlog-german-credit",1024,8,0.01,"cone",0.683561605215073,0.691999971866608
"statlog-german-credit",256,3,1,"cone",0.682191759347916,0.74400007724762
"statlog-german-credit",256,3,0.1,"cone",0.680821883678436,0.727999985218048
"statlog-german-credit",512,8,0.01,"cone",0.679452055692673,0.724000096321106
"statlog-german-credit",512,8,0.1,"cone",0.676712310314179,0.65200001001358
"statlog-german-credit",256,2,0.01,"cone",0.675342440605164,0.73199999332428
"statlog-german-credit",256,8,0.01,"cone",0.673972576856613,0.667999982833862
"statlog-german-credit",512,4,0.1,"cone",0.672602713108063,0.755999982357025
"statlog-german-credit",256,8,0.1,"cone",0.669862979650498,0.687999963760376
"statlog-german-credit",1024,3,0.01,"cone",0.668493115901947,0.760000050067902
"statlog-german-credit",512,8,0.01,"rect",0.667123264074326,0.680000007152557
"statlog-german-credit",256,3,0.1,"rect",0.664383536577225,0.74399995803833
"statlog-german-credit",512,32,0.01,"rect",0.656164360046387,0.708000063896179
"statlog-german-credit",512,3,0.1,"cone",0.650684916973114,0.752000033855438
"statlog-german-credit",1024,32,1,"rect",0.647945213317871,0.700000047683716
"statlog-german-credit",512,8,1,"rect",0.647945213317871,0.700000047683716
"statlog-german-credit",512,3,1,"rect",0.647945213317871,0.699999988079071
"statlog-german-credit",1024,2,1,"rect",0.647945213317871,0.695999979972839
"statlog-german-credit",256,2,0.01,"rect",0.647945189476013,0.76800000667572
"statlog-german-credit",256,16,0.1,"rect",0.645205450057984,0.723999977111816
"statlog-german-credit",256,32,0.01,"rect",0.643835604190827,0.716000080108643
"statlog-german-credit",1024,32,0.01,"rect",0.64246575832367,0.544000029563904
"statlog-german-credit",256,4,0.01,"cone",0.638356190919876,0.720000028610229
"statlog-german-credit",1024,8,1,"cone",0.638356155157089,0.65200001001358
"statlog-german-credit",256,8,1,"rect",0.63013699054718,0.700000047683716
"statlog-german-credit",1024,8,0.01,"rect",0.630136966705322,0.715999960899353
"statlog-german-credit",256,8,0.01,"rect",0.626027375459671,0.692000031471252
"statlog-german-credit",512,16,1,"rect",0.610958909988403,0.700000047683716
"statlog-german-credit",256,32,1,"rect",0.573972606658936,0.699999988079071
"statlog-german-credit",512,16,0.01,"rect",0.561643838882446,0.70799994468689
"statlog-german-credit",512,4,1,"rect",0.539726024866104,0.700000047683716
"statlog-german-credit",256,2,1,"rect",0.534246569871903,0.303999990224838
"statlog-german-credit",512,32,1,"rect",0.5,0.299999982118607
