"dataset","layerForm","testAccuracy","nhidden","nlayers","valAccuracy","learningrate"
"monks-3","rect",0.69907408952713,256,2,0.850000035762787,0.01
"monks-3","cone",0.763888955116272,256,2,0.828571474552155,0.01
"monks-3","cone",0.689814805984497,1024,2,0.814285731315613,0.01
"monks-3","rect",0.844907402992249,1024,2,0.807142871618271,0.1
"monks-3","cone",0.858796358108521,256,2,0.792857164144516,0.1
"monks-3","rect",0.666666686534882,512,8,0.77857146859169,0.01
"monks-3","rect",0.821759343147278,256,2,0.778571450710297,0.1
"monks-3","cone",0.678240716457367,1024,8,0.771428602933884,0.01
"monks-3","rect",0.673611104488373,512,3,0.771428602933884,0.01
"monks-3","cone",0.6875,512,4,0.771428602933884,0.01
"monks-3","rect",0.724537074565887,1024,3,0.771428591012955,0.1
"monks-3","rect",0.729166746139526,1024,2,0.764285731315613,0.01
"monks-3","cone",0.736111104488373,256,3,0.764285725355148,0.1
"monks-3","cone",0.689814865589142,512,4,0.7571428835392,0.1
"monks-3","rect",0.701388955116272,256,3,0.757142871618271,0.01
"monks-3","cone",0.641203701496124,256,4,0.750000035762787,0.01
"monks-3","cone",0.627314865589142,1024,4,0.742857164144516,0.01
"monks-3","cone",0.807870388031006,256,4,0.735714316368103,0.1
"monks-3","rect",0.743055641651154,1024,3,0.735714316368103,0.01
"monks-3","rect",0.627314805984497,512,4,0.735714310407639,0.01
"monks-3","cone",0.733796298503876,1024,3,0.728571456670761,0.01
"monks-3","cone",0.80092591047287,1024,2,0.728571444749832,0.1
"monks-3","cone",0.613425850868225,512,3,0.721428591012955,0.1
"monks-3","cone",0.61342591047287,512,3,0.721428591012955,0.01
"monks-3","rect",0.620370388031006,256,3,0.714285743236542,0.1
"monks-3","rect",0.71527773141861,1024,4,0.714285731315613,0.01
"monks-3","rect",0.564814805984497,256,4,0.707142889499664,0.01
"monks-3","rect",0.736111104488373,512,2,0.707142877578736,0.1
"monks-3","rect",0.550925970077515,512,4,0.700000017881393,0.1
"monks-3","rect",0.613425970077515,256,16,0.692857164144516,0.01
"monks-3","rect",0.581018567085266,512,2,0.685714322328568,0.01
"monks-3","cone",0.685185194015503,512,2,0.685714316368103,0.01
"monks-3","rect",0.641203701496124,512,3,0.685714310407639,0.1
"monks-3","cone",0.733796298503876,256,3,0.685714304447174,0.01
"monks-3","cone",0.731481492519379,512,2,0.678571447730064,0.1
"monks-3","cone",0.75,1024,3,0.664285731315613,0.1
"monks-3","cone",0.75,1024,4,0.65000002682209,0.1
"monks-3","rect",0.472222238779068,1024,32,0.642857193946838,1
"monks-3","cone",0.472222238779068,512,16,0.642857193946838,0.01
"monks-3","cone",0.513888895511627,256,16,0.642857193946838,0.01
"monks-3","cone",0.52777773141861,512,8,0.642857193946838,0.01
"monks-3","rect",0.608796238899231,256,8,0.642857193946838,0.01
"monks-3","rect",0.472222238779068,512,8,0.642857193946838,1
"monks-3","rect",0.472222238779068,256,8,0.642857193946838,1
"monks-3","rect",0.472222238779068,1024,4,0.642857193946838,1
"monks-3","cone",0.472222238779068,1024,2,0.642857193946838,1
"monks-3","cone",0.472222238779068,512,2,0.642857193946838,1
"monks-3","rect",0.780092597007751,256,4,0.64285717010498,0.1
"monks-3","rect",0.625,1024,8,0.635714334249497,0.01
"monks-3","rect",0.472222238779068,256,32,0.614285761117935,0.1
"monks-3","rect",0.527777791023254,1024,16,0.614285761117935,1
"monks-3","rect",0.472222238779068,512,16,0.585714328289032,0.1
"monks-3","rect",0.641203701496124,512,8,0.585714328289032,0.1
"monks-3","cone",0.435185164213181,1024,8,0.585714328289032,1
"monks-3","rect",0.472222238779068,256,32,0.557142895460129,0.01
"monks-3","cone",0.472222238779068,512,32,0.557142895460129,1
"monks-3","rect",0.472222238779068,512,4,0.557142895460129,1
"monks-3","cone",0.458333343267441,256,3,0.557142895460129,1
"monks-3","rect",0.472222238779068,512,32,0.557142895460129,1
"monks-3","rect",0.465277791023254,256,16,0.557142895460129,0.1
"monks-3","cone",0.604166626930237,512,8,0.557142895460129,0.1
"monks-3","cone",0.472222238779068,512,4,0.557142895460129,1
"monks-3","cone",0.472222238779068,512,3,0.557142895460129,1
"monks-3","rect",0.472222238779068,256,3,0.557142895460129,1
"monks-3","cone",0.472222238779068,512,16,0.557142889499664,1
"monks-3","rect",0.527777791023254,1024,32,0.528571462631226,0.01
"monks-3","rect",0.472222238779068,1024,32,0.528571462631226,0.1
"monks-3","rect",0.416666686534882,1024,16,0.528571462631226,0.01
"monks-3","rect",0.557870388031006,512,16,0.528571462631226,0.01
"monks-3","rect",0.472222238779068,256,16,0.528571462631226,1
"monks-3","cone",0.567129611968994,256,8,0.528571462631226,0.01
"monks-3","cone",0.467592597007751,256,8,0.528571462631226,1
"monks-3","rect",0.472222238779068,1024,3,0.528571462631226,1
"monks-3","rect",0.527777791023254,512,3,0.528571462631226,1
"monks-3","rect",0.321759253740311,1024,2,0.528571462631226,1
"monks-3","rect",0.527777791023254,512,2,0.528571462631226,1
"monks-3","cone",0.472222238779068,256,2,0.528571462631226,1
"monks-3","cone",0.527777791023254,1024,16,0.528571444749832,1
"monks-3","rect",0.527777791023254,512,32,0.500000029802322,0.1
"monks-3","rect",0.527777791023254,256,32,0.500000029802322,1
"monks-3","rect",0.472222238779068,512,16,0.500000029802322,1
"monks-3","cone",0.472222238779068,256,16,0.500000029802322,1
"monks-3","rect",0.291666656732559,1024,8,0.500000029802322,0.1
"monks-3","cone",0.527777791023254,512,8,0.500000029802322,1
"monks-3","cone",0.472222238779068,1024,4,0.500000029802322,1
"monks-3","rect",0.527777791023254,256,4,0.500000029802322,1
"monks-3","cone",0.472222238779068,1024,3,0.500000029802322,1
"monks-3","rect",0.305555582046509,256,2,0.500000029802322,1
"monks-3","rect",0.527777791023254,512,32,0.500000029802322,0.01
"monks-3","cone",0.472222238779068,1024,32,0.500000029802322,0.1
"monks-3","cone",0.527777791023254,512,16,0.500000029802322,0.1
"monks-3","rect",0.527777850627899,1024,8,0.500000029802322,1
"monks-3","rect",0.516203701496124,1024,4,0.500000029802322,0.1
"monks-3","cone",0.472222238779068,256,32,0.471428596973419,1
"monks-3","rect",0.527777791023254,1024,16,0.471428596973419,0.1
