"dataset","nhidden","nlayers","layerForm","valAccuracy","learningrate","testAccuracy"
"oocytes_merluccius_nucleus_4d",512,3,"rect",0.765625,0.1,0.768627464771271
"oocytes_merluccius_nucleus_4d",256,3,"cone",0.765625,0.1,0.796078443527222
"oocytes_merluccius_nucleus_4d",512,2,"rect",0.7640625,0.1,0.717647075653076
"oocytes_merluccius_nucleus_4d",512,2,"cone",0.7625,0.01,0.811764717102051
"oocytes_merluccius_nucleus_4d",256,8,"rect",0.7546875,0.01,0.7843137383461
"oocytes_merluccius_nucleus_4d",512,8,"rect",0.7515625,0.01,0.780392169952393
"oocytes_merluccius_nucleus_4d",512,4,"cone",0.7484375,0.01,0.815686285495758
"oocytes_merluccius_nucleus_4d",256,3,"rect",0.7453125,0.1,0.772549033164978
"oocytes_merluccius_nucleus_4d",1024,4,"rect",0.74375,0.01,0.800000011920929
"oocytes_merluccius_nucleus_4d",512,3,"rect",0.740625,0.01,0.800000011920929
"oocytes_merluccius_nucleus_4d",512,4,"rect",0.7390625,0.01,0.807843148708344
"oocytes_merluccius_nucleus_4d",1024,16,"rect",0.7375,0.01,0.752941191196442
"oocytes_merluccius_nucleus_4d",1024,3,"cone",0.7359375,0.01,0.823529422283173
"oocytes_merluccius_nucleus_4d",256,4,"rect",0.734375,0.1,0.756862759590149
"oocytes_merluccius_nucleus_4d",1024,3,"rect",0.73125,0.01,0.803921580314636
"oocytes_merluccius_nucleus_4d",512,2,"rect",0.73125,0.01,0.815686285495758
"oocytes_merluccius_nucleus_4d",256,2,"rect",0.73125,0.1,0.7843137383461
"oocytes_merluccius_nucleus_4d",1024,3,"rect",0.7296875,0.1,0.807843148708344
"oocytes_merluccius_nucleus_4d",256,4,"cone",0.728125,0.01,0.772549033164978
"oocytes_merluccius_nucleus_4d",256,2,"rect",0.728125,0.01,0.835294127464294
"oocytes_merluccius_nucleus_4d",256,4,"rect",0.7265625,0.01,0.752941191196442
"oocytes_merluccius_nucleus_4d",1024,8,"rect",0.725,0.01,0.803921580314636
