"dataset","nlayers","layerForm","valAccuracy","learningrate","nhidden","testAccuracy"
"heart-va",3,"rect",0.625000029802322,0.1,512,0.239999979734421
"heart-va",3,"cone",0.616666680574417,1,512,0.359999984502792
"heart-va",8,"rect",0.600000029802322,0.1,1024,0.279999971389771
"heart-va",4,"cone",0.591666698455811,0.01,512,0.239999994635582
"heart-va",4,"rect",0.583333373069763,0.01,512,0.319999992847443
"heart-va",2,"cone",0.575000023841858,1,512,0.299999982118607
"heart-va",2,"rect",0.566666680574417,0.1,512,0.319999992847443
"heart-va",2,"cone",0.558333361148834,0.01,1024,0.399999976158142
"heart-va",2,"cone",0.55833335518837,0.1,256,0.199999988079071
"heart-va",3,"rect",0.550000023841858,0.01,256,0.359999984502792
"heart-va",4,"cone",0.550000023841858,0.1,512,0.219999998807907
"heart-va",2,"rect",0.541666692495346,0.01,512,0.339999973773956
"heart-va",8,"cone",0.533333349227905,0.01,256,0.319999992847443
"heart-va",4,"cone",0.516666686534882,0.1,256,0.259999990463257
"heart-va",4,"rect",0.516666686534882,0.1,512,0.319999992847443
"heart-va",8,"rect",0.508333349227905,0.1,512,0.319999992847443
"heart-va",2,"rect",0.508333349227905,0.01,1024,0.340000003576279
"heart-va",3,"cone",0.508333343267441,0.1,1024,0.200000002980232
"heart-va",3,"rect",0.500000020861626,0.1,256,0.319999992847443
"heart-va",3,"cone",0.500000020861626,1,256,0.219999983906746
"heart-va",4,"rect",0.500000017881393,0.1,1024,0.359999984502792
"heart-va",4,"cone",0.500000008940697,1,256,0.300000011920929
"heart-va",2,"cone",0.5,0.01,512,0.319999992847443
"heart-va",2,"cone",0.491666686534882,0.1,1024,0.360000014305115
"heart-va",2,"cone",0.491666686534882,1,256,0.200000002980232
"heart-va",3,"cone",0.491666683554649,0.1,256,0.319999992847443
"heart-va",3,"cone",0.491666680574417,0.1,512,0.340000003576279
"heart-va",4,"cone",0.483333352208138,0.1,1024,0.279999971389771
"heart-va",2,"cone",0.483333349227905,1,1024,0.299999982118607
"heart-va",3,"cone",0.483333346247673,0.01,256,0.319999992847443
"heart-va",2,"rect",0.466666680574417,0.1,256,0.300000011920929
"heart-va",3,"cone",0.458333343267441,0.01,1024,0.339999973773956
"heart-va",4,"rect",0.450000011920929,0.1,256,0.319999992847443
"heart-va",3,"cone",0.450000011920929,0.01,512,0.239999994635582
"heart-va",2,"rect",0.450000011920929,0.01,256,0.299999982118607
"heart-va",2,"cone",0.450000011920929,0.01,256,0.300000011920929
"heart-va",8,"rect",0.441666680574417,0.01,512,0.319999992847443
"heart-va",2,"rect",0.441666680574417,0.1,1024,0.340000003576279
"heart-va",3,"rect",0.441666674613953,0.1,1024,0.360000014305115
"heart-va",4,"rect",0.433333349227905,0.01,256,0.280000001192093
"heart-va",3,"cone",0.433333340287209,1,1024,0.239999994635582
"heart-va",8,"cone",0.425000005960464,0.1,512,0.259999990463257
"heart-va",4,"cone",0.416666674613953,1,512,0.439999997615814
"heart-va",16,"cone",0.400000011920929,0.01,256,0.259999990463257
