"dataset","learningrate","layerForm","nlayers","valAccuracy","testAccuracy","nhidden"
"heart-cleveland",0.01,"rect",3,0.681818187236786,0.578947365283966,256
"heart-cleveland",0.1,"rect",8,0.645454579591751,0.592105209827423,512
"heart-cleveland",0.1,"cone",4,0.640909123420715,0.486842125654221,256
"heart-cleveland",0.1,"cone",2,0.640909081697464,0.539473652839661,1024
"heart-cleveland",0.1,"rect",4,0.636363685131073,0.513157904148102,512
"heart-cleveland",0.01,"rect",2,0.636363685131073,0.578947305679321,512
"heart-cleveland",1,"cone",3,0.631818199157715,0.552631556987762,1024
"heart-cleveland",0.1,"cone",8,0.631818175315857,0.539473712444305,1024
"heart-cleveland",0.01,"cone",3,0.631818175315857,0.513157904148102,1024
"heart-cleveland",0.1,"cone",3,0.627272742986679,0.513157904148102,1024
"heart-cleveland",0.1,"rect",3,0.622727310657501,0.552631556987762,256
"heart-cleveland",0.01,"rect",2,0.61818186044693,0.539473652839661,1024
"heart-cleveland",0.01,"rect",16,0.618181830644608,0.578947365283966,1024
"heart-cleveland",0.01,"cone",2,0.613636374473572,0.539473712444305,512
"heart-cleveland",0.01,"cone",8,0.609090948104858,0.407894760370255,256
"heart-cleveland",1,"cone",4,0.604545474052429,0.5,512
"heart-cleveland",1,"cone",2,0.600000017881393,0.539473712444305,1024
"heart-cleveland",1,"cone",3,0.600000005960464,0.605263113975525,256
"heart-cleveland",0.1,"cone",16,0.595454561710358,0.631578922271729,1024
"heart-cleveland",0.01,"rect",16,0.590909123420715,0.552631616592407,256
"heart-cleveland",0.01,"cone",4,0.590909123420715,0.552631556987762,1024
"heart-cleveland",0.1,"rect",4,0.590909123420715,0.539473652839661,256
"heart-cleveland",0.1,"rect",3,0.590909123420715,0.473684221506119,1024
"heart-cleveland",0.01,"cone",2,0.590909123420715,0.513157904148102,1024
"heart-cleveland",0.1,"cone",2,0.577272754907608,0.513157904148102,512
"heart-cleveland",1,"cone",3,0.577272751927376,0.592105269432068,512
"heart-cleveland",0.1,"rect",4,0.577272737026215,0.5,1024
"heart-cleveland",1,"cone",4,0.572727298736572,0.578947365283966,1024
"heart-cleveland",0.01,"rect",4,0.568181842565537,0.539473712444305,512
"heart-cleveland",0.01,"cone",4,0.568181842565537,0.552631556987762,256
"heart-cleveland",0.01,"cone",16,0.563636380434036,0.565789461135864,1024
"heart-cleveland",0.1,"rect",3,0.563636380434036,0.565789461135864,512
"heart-cleveland",0.01,"rect",4,0.559090930223465,0.578947365283966,1024
"heart-cleveland",0.1,"rect",8,0.559090924263001,0.513157904148102,1024
"heart-cleveland",1,"cone",2,0.559090918302536,0.552631556987762,512
"heart-cleveland",0.1,"rect",2,0.554545474052429,0.513157904148102,512
"heart-cleveland",0.01,"cone",8,0.550000017881394,0.486842125654221,1024
"heart-cleveland",0.01,"cone",4,0.550000017881394,0.565789461135864,512
"heart-cleveland",0.1,"cone",3,0.550000017881394,0.513157904148102,512
"heart-cleveland",0.1,"rect",2,0.550000017881394,0.5,256
"heart-cleveland",0.1,"rect",2,0.550000011920929,0.513157904148102,1024
"heart-cleveland",0.01,"rect",8,0.545454561710358,0.460526347160339,256
"heart-cleveland",0.01,"rect",3,0.545454561710358,0.578947365283966,1024
"heart-cleveland",0.1,"cone",3,0.545454561710358,0.552631616592407,256
"heart-cleveland",0.01,"rect",2,0.545454561710358,0.539473652839661,256
"heart-cleveland",0.1,"cone",2,0.545454561710358,0.5,256
"heart-cleveland",0.01,"rect",16,0.545454561710358,0.592105269432068,512
"heart-cleveland",1,"cone",2,0.540909099578857,0.513157904148102,256
"heart-cleveland",0.1,"cone",4,0.536363652348518,0.578947365283966,1024
"heart-cleveland",0.1,"cone",4,0.536363649368286,0.539473652839661,512
"heart-cleveland",0.01,"rect",8,0.53181819319725,0.526315808296204,512
"heart-cleveland",1,"cone",4,0.527272742986679,0.552631556987762,256
"heart-cleveland",0.1,"rect",8,0.522727280855179,0.460526317358017,256
"heart-cleveland",0.1,"cone",8,0.504545471072197,0.565789461135864,512
"heart-cleveland",0.01,"rect",32,0.500000002980232,0.644736886024475,256
"heart-cleveland",0.01,"cone",3,0.5,0.513157904148102,512
"heart-cleveland",0.01,"rect",3,0.5,0.539473652839661,512
"heart-cleveland",0.01,"cone",2,0.5,0.513157904148102,256
"heart-cleveland",1,"cone",8,0.490909105539322,0.592105269432068,512
"heart-cleveland",0.01,"cone",16,0.472727280855179,0.605263113975525,512
"heart-cleveland",0.1,"cone",8,0.472727280855179,0.526315808296204,256
"heart-cleveland",0.1,"rect",16,0.468181836605072,0.592105269432068,512
"heart-cleveland",0.01,"rect",4,0.454545438289642,0.618421077728271,256
"heart-cleveland",1,"cone",8,0.4454545378685,0.552631556987762,1024
"heart-cleveland",0.1,"cone",16,0.427272748947144,0.552631556987762,512
"heart-cleveland",0.01,"rect",32,0.422727280855179,0.565789461135864,512
"heart-cleveland",0.01,"cone",16,0.418181830644608,0.526315808296204,256
"heart-cleveland",1,"cone",8,0.413636389374733,0.552631556987762,256
"heart-cleveland",1,"rect",2,0.413636389374733,0.565789461135864,256
"heart-cleveland",0.01,"cone",32,0.409090936183929,0.565789461135864,1024
"heart-cleveland",0.01,"cone",32,0.409090936183929,0.565789461135864,512
"heart-cleveland",0.01,"cone",32,0.409090936183929,0.565789461135864,256
"heart-cleveland",0.1,"cone",32,0.409090936183929,0.565789461135864,1024
"heart-cleveland",0.1,"rect",32,0.409090936183929,0.565789461135864,1024
"heart-cleveland",0.1,"cone",32,0.409090936183929,0.565789461135864,512
"heart-cleveland",0.1,"rect",32,0.409090936183929,0.565789461135864,512
"heart-cleveland",0.1,"cone",32,0.409090936183929,0.565789461135864,256
"heart-cleveland",0.1,"rect",32,0.409090936183929,0.565789461135864,256
"heart-cleveland",1,"cone",32,0.409090936183929,0.565789461135864,1024
"heart-cleveland",1,"cone",32,0.409090936183929,0.565789461135864,512
"heart-cleveland",1,"cone",32,0.409090936183929,0.565789461135864,256
"heart-cleveland",1,"rect",32,0.409090936183929,0.565789461135864,256
"heart-cleveland",0.1,"cone",16,0.409090936183929,0.565789461135864,256
"heart-cleveland",1,"cone",16,0.409090936183929,0.565789461135864,1024
"heart-cleveland",1,"cone",16,0.409090936183929,0.565789461135864,512
"heart-cleveland",1,"cone",16,0.409090936183929,0.565789461135864,256
"heart-cleveland",0.01,"cone",8,0.409090936183929,0.552631616592407,512
"heart-cleveland",1,"rect",3,0.409090936183929,0.565789461135864,512
"heart-cleveland",1,"rect",3,0.409090936183929,0.565789461135864,256
"heart-cleveland",0.01,"cone",3,0.409090906381607,0.605263113975525,256
"heart-cleveland",0.1,"rect",16,0.395454570651054,0.381578952074051,1024
"heart-cleveland",0.1,"rect",16,0.381818203628063,0.565789461135864,256
"heart-cleveland",1,"rect",3,0.381818187236786,0.184210538864136,1024
"heart-cleveland",0.01,"rect",8,0.377272742986679,0.578947365283966,1024
"heart-cleveland",0.01,"rect",32,0.350000016391277,0.223684206604958,1024
"heart-cleveland",1,"rect",32,0.336363656818867,0.565789461135864,1024
"heart-cleveland",1,"rect",16,0.336363655328751,0.565789461135864,512
"heart-cleveland",1,"rect",8,0.336363655328751,0.565789461135864,1024
"heart-cleveland",1,"rect",16,0.327272745966911,0.171052649617195,256
"heart-cleveland",1,"rect",4,0.309090928733349,0.565789461135864,512
"heart-cleveland",1,"rect",4,0.309090921282768,0.368421047925949,256
"heart-cleveland",1,"rect",8,0.300000016391277,0.565789461135864,256
"heart-cleveland",1,"rect",2,0.300000014901161,0.171052649617195,512
"heart-cleveland",1,"rect",16,0.295454561710358,0.565789461135864,1024
"heart-cleveland",1,"rect",2,0.290909108519554,0.105263166129589,1024
"heart-cleveland",1,"rect",4,0.272727286815643,0.171052649617195,1024
"heart-cleveland",1,"rect",32,0.272727285325527,0.11842105537653,512
"heart-cleveland",1,"rect",8,0.236363646388054,0.171052649617195,512
