"dataset","layerForm","testAccuracy","nlayers","nhidden","valAccuracy","learningrate"
"statlog-shuttle","cone",0.998690187931061,3,256,0.999256873130798,1
"statlog-shuttle","cone",0.99813848733902,8,256,0.999121797084809,0.1
"statlog-shuttle","cone",0.999035000801086,2,1024,0.999099278450012,1
"statlog-shuttle","rect",0.998966038227081,4,1024,0.999099278450012,0.1
"statlog-shuttle","cone",0.999241888523102,3,1024,0.999099266529083,0.1
"statlog-shuttle","cone",0.998897075653076,2,256,0.999031734466553,1
"statlog-shuttle","rect",0.998966038227081,2,256,0.99898670911789,0.1
"statlog-shuttle","cone",0.998966038227081,2,256,0.998964214324951,0.1
"statlog-shuttle","cone",0.999172925949097,2,1024,0.998964214324951,0.1
"statlog-shuttle","cone",0.998621225357056,3,1024,0.998964202404022,0.01
"statlog-shuttle","cone",0.998207449913025,2,512,0.998964190483093,1
"statlog-shuttle","rect",0.998690187931061,4,512,0.998941707611084,0.01
"statlog-shuttle","cone",0.998828113079071,8,512,0.998941695690155,0.1
"statlog-shuttle","cone",0.998759150505066,3,512,0.998919188976288,1
"statlog-shuttle","rect",0.998759150505066,2,1024,0.998919177055359,0.01
"statlog-shuttle","rect",0.998966038227081,2,512,0.998919177055359,0.1
"statlog-shuttle","rect",0.99841433763504,2,256,0.998874187469483,0.01
"statlog-shuttle","rect",0.998345375061035,3,512,0.998874163627625,0.1
"statlog-shuttle","rect",0.99841433763504,3,256,0.998851656913757,0.01
"statlog-shuttle","cone",0.998759150505066,4,1024,0.998851656913757,0.01
"statlog-shuttle","rect",0.998552262783051,4,1024,0.998851644992829,0.01
"statlog-shuttle","cone",0.998828113079071,3,256,0.998851644992828,0.1
"statlog-shuttle","rect",0.998897075653076,3,1024,0.998851633071899,0.1
"statlog-shuttle","rect",0.99841433763504,3,1024,0.998829162120819,0.01
"statlog-shuttle","cone",0.99841433763504,2,1024,0.99882915019989,0.01
"statlog-shuttle","cone",0.99841433763504,4,512,0.998829138278961,0.01
"statlog-shuttle","cone",0.998069524765015,4,256,0.998806631565094,0.01
"statlog-shuttle","rect",0.998690187931061,8,512,0.998806631565094,0.1
"statlog-shuttle","rect",0.998966038227081,4,512,0.998806607723236,0.1
"statlog-shuttle","cone",0.998759150505066,8,1024,0.998784112930298,0.1
"statlog-shuttle","rect",0.998690187931061,4,256,0.998784112930298,0.1
"statlog-shuttle","cone",0.998552262783051,2,512,0.998761606216431,0.01
"statlog-shuttle","cone",0.998828113079071,4,1024,0.998761606216431,0.1
"statlog-shuttle","cone",0.998483300209045,8,256,0.998761594295502,0.01
"statlog-shuttle","cone",0.998690187931061,4,256,0.998761582374573,0.1
"statlog-shuttle","cone",0.998759150505066,4,512,0.998739087581635,1
"statlog-shuttle","rect",0.999035000801086,3,256,0.998739087581635,0.1
"statlog-shuttle","rect",0.998552262783051,3,512,0.998716580867767,0.01
"statlog-shuttle","rect",0.998897075653076,4,256,0.998716568946838,0.01
"statlog-shuttle","cone",0.998552262783051,3,512,0.99871655702591,0.1
"statlog-shuttle","rect",0.999103963375092,2,1024,0.998694086074829,0.1
"statlog-shuttle","cone",0.998759150505066,2,512,0.998694050312042,0.1
"statlog-shuttle","rect",0.998621225357056,8,1024,0.998671561479569,0.01
"statlog-shuttle","cone",0.998828113079071,4,512,0.998671555519104,0.1
"statlog-shuttle","cone",0.998483300209045,3,256,0.998671543598175,0.01
"statlog-shuttle","cone",0.998621225357056,8,512,0.998626518249512,0.01
"statlog-shuttle","rect",0.998759150505066,8,512,0.998626518249512,0.01
"statlog-shuttle","cone",0.999310851097107,4,256,0.998626518249512,1
"statlog-shuttle","rect",0.998483300209045,16,256,0.998603999614716,0.01
"statlog-shuttle","cone",0.998966038227081,3,512,0.998603999614716,0.01
"statlog-shuttle","rect",0.998690187931061,2,512,0.998603987693787,0.01
"statlog-shuttle","rect",0.998552262783051,8,256,0.99855899810791,0.1
"statlog-shuttle","rect",0.998621225357056,16,512,0.998558986186981,0.01
"statlog-shuttle","rect",0.998690187931061,8,256,0.998513960838318,0.01
"statlog-shuttle","cone",0.998483300209045,4,1024,0.998468971252441,1
"statlog-shuttle","rect",0.998759150505066,8,1024,0.998468935489655,0.1
"statlog-shuttle","cone",0.998207449913025,2,256,0.998378896713257,0.01
"statlog-shuttle","rect",0.998690187931061,16,1024,0.998378884792328,0.01
"statlog-shuttle","cone",0.998345375061035,8,1024,0.998333847522736,0.01
"statlog-shuttle","cone",0.99800056219101,16,256,0.997883605957031,0.01
"statlog-shuttle","cone",0.998069524765015,8,512,0.997545897960663,1
"statlog-shuttle","rect",0.998621225357056,16,256,0.997478401660919,0.1
"statlog-shuttle","cone",0.997448861598969,16,1024,0.996938097476959,0.01
"statlog-shuttle","cone",0.998207449913025,16,512,0.996848058700561,0.01
"statlog-shuttle","rect",0.997310936450958,32,512,0.996375238895416,0.01
