"dataset","nhidden","valAccuracy","layerForm","testAccuracy","nlayers","learningrate"
"plant-shape",512,0.0123893804848194,"rect",0.00999999977648258,32,1
"plant-shape",256,0.0115044247359037,"rect",0.0175000000745058,32,0.01
"plant-shape",512,0.0097345132380724,"cone",0.0199999995529652,16,1
"plant-shape",1024,0.0097345132380724,"rect",0.00999999977648258,8,1
"plant-shape",1024,0.00884955748915672,"rect",0.00999999977648258,32,1
"plant-shape",512,0.00796460174024105,"rect",0.00999999977648258,32,0.1
"plant-shape",1024,0.00796460174024105,"rect",0.00999999977648258,4,1
"plant-shape",256,0.00619469024240971,"rect",0.00999999977648258,16,1
"plant-shape",256,0.00530973449349403,"rect",0.00999999977648258,32,0.1
"plant-shape",1024,0.00442477874457836,"rect",0.00999999977648258,32,0.1
"plant-shape",512,0.00442477874457836,"cone",0.00999999977648258,32,0.1
"plant-shape",1024,0.00442477874457836,"cone",0.00999999977648258,32,1
"plant-shape",256,0.00265486724674702,"cone",0.00999999977648258,32,0.1
"plant-shape",1024,0.00265486724674702,"cone",0.00999999977648258,16,1
"plant-shape",1024,0.00176991149783134,"cone",0.00999999977648258,32,0.1
"plant-shape",256,0.00176991149783134,"cone",0.00999999977648258,16,1
"plant-shape",512,0.000884955748915672,"cone",0.00999999977648258,32,1
"plant-shape",256,0,"cone",0.00999999977648258,32,1
