"dataset","testAccuracy","nlayers","nhidden","learningrate","valAccuracy","layerForm"
"wine-quality-red",0.432500004768372,16,1024,1,0.434545421600342,"cone"
"wine-quality-red",0.432500004768372,16,512,1,0.434545421600342,"cone"
"wine-quality-red",0.432500004768372,32,512,0.1,0.434545421600342,"cone"
"wine-quality-red",0.432500004768372,32,512,0.1,0.429090878367424,"rect"
"wine-quality-red",0.397499978542328,32,256,1,0.429090878367424,"cone"
"wine-quality-red",0.432500004768372,16,256,1,0.429090878367424,"cone"
"wine-quality-red",0.397499978542328,32,512,1,0.423636335134506,"cone"
"wine-quality-red",0.397499978542328,3,512,1,0.419999977946282,"rect"
"wine-quality-red",0.432500004768372,2,512,1,0.389999969303608,"rect"
"wine-quality-red",0.420000016689301,2,1024,1,0.375454527139664,"rect"
"wine-quality-red",0.397499978542328,16,256,1,0.358181798458099,"rect"
"wine-quality-red",0.432500004768372,8,512,1,0.354545431677252,"rect"
"wine-quality-red",0.432500004768372,32,1024,1,0.354545430839062,"rect"
"wine-quality-red",0.122499994933605,4,1024,1,0.34636362195015,"rect"
"wine-quality-red",0.397499978542328,32,256,1,0.330909072048962,"rect"
"wine-quality-red",0.397499978542328,16,512,1,0.33090906823054,"rect"
"wine-quality-red",0.432500004768372,16,1024,1,0.329999977350235,"rect"
"wine-quality-red",0.122499994933605,8,1024,1,0.319999981764704,"rect"
"wine-quality-red",0.122499994933605,3,256,1,0.318181810621172,"rect"
"wine-quality-red",0.432500004768372,32,512,1,0.310909070912749,"rect"
"wine-quality-red",0.432500004768372,4,512,1,0.306363614741713,"rect"
"wine-quality-red",0.425000011920929,4,256,1,0.214545440673828,"rect"
"wine-quality-red",0.494999974966049,2,256,1,0.180909085273743,"rect"
"wine-quality-red",0.432500004768372,8,256,1,0.178181803226471,"rect"
"wine-quality-red",0.397499978542328,3,1024,1,0.125454539060593,"rect"
