DATASET_NAME,FOLDER_NAME,FILE_NAME,TASK,PREDICTION_COLUMN
abalone,abalone,abalone,0,0
acute-inflammation,acute-inflammation,acute-inflammation,0,-1
acute-nephritis,acute-nephritis,acute-nephritis,0,-1
adult,adult,adult,0,-1
annealing,annealing,annealing,0,-1
arrhythmia,arrhythmia,arrhythmia,0,0
audiology-std,audiology-std,audiology-std,0,-1
balance-scale,balance-scale,balance-scale,0,0
balloons,balloons,balloons,0,0
bank,bank,bank,0,0
blood,blood,blood,0,0
breast-cancer,breast-cancer,breast-cancer,0,0
breast-cancer-wisc,breast-cancer-wisc,breast-cancer-wisc,0,0
breast-cancer-wisc-diag,breast-cancer-wisc-diag,breast-cancer-wisc-diag,0,0
breast-cancer-wisc-prog,breast-cancer-wisc-prog,breast-cancer-wisc-prog,0,-1
breast-tissue,breast-tissue,breast-tissue,0,0
car,car,car,0,0
cardiotocography-10clases,cardiotocography-10clases,cardiotocography-10clases,0,0
cardiotocography-3clases,cardiotocography-3clases,cardiotocography-3clases,0,0
chess-krvk,chess-krvk,chess-krvk,0,0
chess-krvkp,chess-krvkp,chess-krvkp,0,0
congressional-voting,congressional-voting,congressional-voting,0,0
conn-bench-sonar-mines-rocks,conn-bench-sonar-mines-rocks,conn-bench-sonar-mines-rocks,0,0
conn-bench-vowel-deterding,conn-bench-vowel-deterding,conn-bench-vowel-deterding,0,0
connect-4,connect-4,connect-4,0,0
contrac,contrac,contrac,0,0
credit-approval,credit-approval,credit-approval,0,0
cylinder-bands,cylinder-bands,cylinder-bands,0,0
dermatology,dermatology,dermatology,0,0
echocardiogram,echocardiogram,echocardiogram,0,0
ecoli,ecoli,ecoli,0,0
energy-y1,energy-y1,energy-y1,0,0
energy-y2,energy-y2,energy-y2,0,0
fertility,fertility,fertility,0,0
flags,flags,flags,0,0
glass,glass,glass,0,0
haberman-survival,haberman-survival,haberman-survival,0,0
hayes-roth,hayes-roth,hayes-roth,0,0
heart-cleveland,heart-cleveland,heart-cleveland,0,0
heart-hungarian,heart-hungarian,heart-hungarian,0,0
heart-switzerland,heart-switzerland,heart-switzerland,0,0
heart-va,heart-va,heart-va,0,0
hepatitis,hepatitis,hepatitis,0,0
hill-valley,hill-valley,hill-valley,0,0
horse-colic,horse-colic,horse-colic,0,0
ilpd-indian-liver,ilpd-indian-liver,ilpd-indian-liver,0,0
image-segmentation,image-segmentation,image-segmentation,0,0
ionosphere,ionosphere,ionosphere,0,0
iris,iris,iris,0,0
led-display,led-display,led-display,0,0
lenses,lenses,lenses,0,0
letter,letter,letter,0,0
libras,libras,libras,0,0
low-res-spect,low-res-spect,low-res-spect,0,0
lung-cancer,lung-cancer,lung-cancer,0,0
lymphography,lymphography,lymphography,0,0
magic,magic,magic,0,0
mammographic,mammographic,mammographic,0,0
miniboone,miniboone,miniboone,0,0
molec-biol-promoter,molec-biol-promoter,molec-biol-promoter,0,0
molec-biol-splice,molec-biol-splice,molec-biol-splice,0,0
monks-1,monks-1,monks-1,0,0
monks-2,monks-2,monks-2,0,0
monks-3,monks-3,monks-3,0,0
mushroom,mushroom,mushroom,0,0
musk-1,musk-1,musk-1,0,0
musk-2,musk-2,musk-2,0,0
nursery,nursery,nursery,0,0
oocytes_merluccius_nucleus_4d,oocytes_merluccius_nucleus_4d,oocytes_merluccius_nucleus_4d,0,0
oocytes_merluccius_states_2f,oocytes_merluccius_states_2f,oocytes_merluccius_states_2f,0,0
oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_nucleus_2f,oocytes_trisopterus_nucleus_2f,0,0
oocytes_trisopterus_states_5b,oocytes_trisopterus_states_5b,oocytes_trisopterus_states_5b,0,0
optical,optical,optical,0,0
ozone,ozone,ozone,0,0
page-blocks,page-blocks,page-blocks,0,0
parkinsons,parkinsons,parkinsons,0,0
pendigits,pendigits,pendigits,0,0
pima,pima,pima,0,0
pittsburg-bridges-MATERIAL,pittsburg-bridges-MATERIAL,pittsburg-bridges-MATERIAL,0,0
pittsburg-bridges-REL-L,pittsburg-bridges-REL-L,pittsburg-bridges-REL-L,0,0
pittsburg-bridges-SPAN,pittsburg-bridges-SPAN,pittsburg-bridges-SPAN,0,0
pittsburg-bridges-T-OR-D,pittsburg-bridges-T-OR-D,pittsburg-bridges-T-OR-D,0,0
pittsburg-bridges-TYPE,pittsburg-bridges-TYPE,pittsburg-bridges-TYPE,0,0
planning,planning,planning,0,0
plant-margin,plant-margin,plant-margin,0,0
plant-shape,plant-shape,plant-shape,0,0
plant-texture,plant-texture,plant-texture,0,0
post-operative,post-operative,post-operative,0,0
primary-tumor,primary-tumor,primary-tumor,0,0
ringnorm,ringnorm,ringnorm,0,0
seeds,seeds,seeds,0,0
semeion,semeion,semeion,0,0
soybean,soybean,soybean,0,0
spambase,spambase,spambase,0,0
spect,spect,spect,0,0
spectf,spectf,spectf,0,0
statlog-australian-credit,statlog-australian-credit,statlog-australian-credit,0,0
statlog-german-credit,statlog-german-credit,statlog-german-credit,0,0
statlog-heart,statlog-heart,statlog-heart,0,0
statlog-image,statlog-image,statlog-image,0,0
statlog-landsat,statlog-landsat,statlog-landsat,0,0
statlog-shuttle,statlog-shuttle,statlog-shuttle,0,0
statlog-vehicle,statlog-vehicle,statlog-vehicle,0,0
steel-plates,steel-plates,steel-plates,0,0
synthetic-control,synthetic-control,synthetic-control,0,0
teaching,teaching,teaching,0,0
thyroid,thyroid,thyroid,0,0
tic-tac-toe,tic-tac-toe,tic-tac-toe,0,0
titanic,titanic,titanic,0,0
trains,trains,trains,0,0
twonorm,twonorm,twonorm,0,0
vertebral-column-2clases,vertebral-column-2clases,vertebral-column-2clases,0,0
vertebral-column-3clases,vertebral-column-3clases,vertebral-column-3clases,0,0
wall-following,wall-following,wall-following,0,0
waveform,waveform,waveform,0,0
waveform-noise,waveform-noise,waveform-noise,0,0
wine,wine,wine,0,0
wine-quality-red,wine-quality-red,wine-quality-red,0,0
wine-quality-white,wine-quality-white,wine-quality-white,0,0
yeast,yeast,yeast,0,0
zoo,zoo,zoo,0,0
