dataset,start_time,stop_time,time
abalone,1589530761.5451882,1589530790.0725632,28.527374982833862
acute-inflammation,1589530790.0835614,1589530800.7928498,10.709288358688354
acute-nephritis,1589530800.8018537,1589530811.4819012,10.680047512054443
adult,1589530811.4909003,1589531024.7219322,213.23103189468384
annealing,1589531024.730934,1589531033.906165,9.175230979919434
arrhythmia,1589531033.9151645,1589531037.8405836,3.9254190921783447
audiology-std,1589531037.851586,1589531041.143294,3.291707992553711
balance-scale,1589531041.1562922,1589531056.4080944,15.251802206039429
balloons,1589531056.4170935,1589531059.7659364,3.3488428592681885
bank,1589531059.777936,1589531086.744469,26.966532945632935
blood,1589531086.7534688,1589531099.3060539,12.552585124969482
breast-cancer,1589531099.317054,1589531113.0131435,13.696089506149292
breast-cancer-wisc,1589531113.0231407,1589531118.3054693,5.2823286056518555
breast-cancer-wisc-diag,1589531118.3164685,1589531126.2049923,7.888523817062378
breast-cancer-wisc-prog,1589531126.214991,1589531128.1253893,1.910398244857788
breast-tissue,1589531128.1343892,1589531129.8775046,1.7431154251098633
car,1589531129.8865047,1589531142.7583609,12.871856212615967
cardiotocography-10clases,1589531142.767359,1589531164.9182584,22.150899410247803
cardiotocography-3clases,1589531164.9272592,1589531223.2706895,58.343430280685425
chess-krvk,1589531223.27969,1589531399.6454132,176.36572313308716
chess-krvkp,1589531399.6554134,1589531425.3075573,25.652143955230713
congressional-voting,1589531425.3166466,1589531429.8000424,4.48339581489563
conn-bench-sonar-mines-rocks,1589531429.8100448,1589531431.9271314,2.11708664894104
conn-bench-vowel-deterding,1589531431.937137,1589531439.7964072,7.859270334243774
connect-4,1589531439.805406,1589531793.471798,353.6663918495178
contrac,1589531793.4808,1589531802.477496,8.99669599533081
credit-approval,1589531802.486496,1589531810.1550782,7.668582201004028
cylinder-bands,1589531810.1650772,1589531814.0559428,3.8908655643463135
dermatology,1589531814.065945,1589531819.0768244,5.0108795166015625
echocardiogram,1589531819.086822,1589531823.9195244,4.832702398300171
ecoli,1589531823.9295235,1589531826.5436306,2.614107131958008
energy-y1,1589531826.5526297,1589531842.8078325,16.255202770233154
energy-y2,1589531842.816829,1589531868.2333393,25.416510343551636
fertility,1589531868.2423413,1589531870.0334704,1.7911291122436523
flags,1589531870.0444815,1589531880.9592083,10.914726734161377
glass,1589531880.9682102,1589531882.824308,1.85609769821167
haberman-survival,1589531882.8343067,1589531885.3933609,2.559054136276245
hayes-roth,1589531885.40236,1589531888.2617884,2.8594284057617188
heart-cleveland,1589531888.2717848,1589531891.4821258,3.210340976715088
heart-hungarian,1589531891.4921257,1589531894.1201372,2.628011465072632
heart-switzerland,1589531894.1341355,1589531896.343307,2.2091715335845947
heart-va,1589531896.352307,1589531898.2877924,1.9354853630065918
hepatitis,1589531898.2987926,1589531899.978104,1.6793115139007568
